RDO:;RDO NO. 13 TUGUEGARAO, CAGAYAN;(Formerly RDO No. 9 - Tuguegarao, Cagayan);;;
DIEGO SILANG ST (WEST & EAST SIDE);MABINI ST- RIZAL ST;RR;250.00;;
CITY/MUNICIPALITY:;APARRI;;;;
BARANGAY :;VARIOUS;;;;
BACKILING;NATIONAL ROAD;RR;35.00;;
BACKILING;BARANGAY ROAD;RR;25.00;;
BANGAG;PROVINCIAL ROAD;RR;35.00;;
BANGAG;BARANGAY ROAD;RR;25.00;;
BINALAN;NATIONAL ROAD;RR;35.00;;
BINALAN;BARANGAY ROAD;RR;25.00;;
BISAGU;BARANGAY ROAD;RR;5.00;;
BUKIG;NATIONAL ROAD;RR;35.00;;
BUKIG;BARANGAY ROAD;RR;25.00;;
BULALA NORTE;NATIONAL ROAD;RR;35.00;;
BULALA NORTE;BARANGAY ROAD;RR;25.00;;
BULALA SUR;NATIONAL ROAD;RR;35.00;;
BULALA SUR;BARANGAY ROAD;RR;25.00;;
CAAGAMAN;BARANGAY ROAD;RR;20.00;;
DODAN;BARANGAY ROAD;RR;5.00;;
FUGA;BARANGAY ROAD;RR;20.00;;
GADDANG;BARANGAY ROAD;RR;35.00;;
LINAO;BARANGAY ROAD;RR;25.00;;
MABANGUC;NATIONAL ROAD;RR;25.00;;
MABANGUC;BARANGAY ROAD;RR;15.00;;
MACANAYA;BARANGAY ROAD;RR;70.00;;
MAURA;BARANGAY ROAD;RR;110.00;;
MINANGA;BARANGAY ROAD;RR;220.00;;
NABBAGAN;BARANGAY ROAD;RR;5.00;;
PADDAYA;BARANGAY ROAD;RR;15.00;;
PARADDUN NORTE;NATIONAL ROAD;RR;35.00;;
PARADDUN NORTE;BARANGAY ROAD;RR;25.00;;
PARADDUN SUR;PROVINCIAL ROAD;RR;25.00;;
PARADDUN SUR;BARANGAY ROAD;RR;15.00;;
PLAZA;NATIONAL ROAD;RR;35.00;;
PLAZA;BARANGAY ROAD;RR;25.00;;
PUNTA;BARANGAY ROAD;RR;30.00;;
SAN ANTONIO;BARANGAY ROAD;RR;30.00;;
TALLUNGAN;NATIONAL ROAD;RR;55.00;;
TALLUNGAN;BARANGAY ROAD;RR;45.00;;
TORAN;NATIONAL ROAD;RR;45.00;;
TORAN;BARANGAY ROAD;RR;35.00;;
ZINARAG;NATIONAL ROAD;RR;35.00;;
ZINARAG;BARANGAY ROAD;RR;25.00;;
CITY/MUNICIPALITY:;APARRI;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;6.00;;
ALL LOTS;;A2;4.50;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;2.00;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.00;;
ALL LOTS;;A7;5.50;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;BAGGAO;;;;
BARANGAY  :;POBLACION;;;;
PROV. RD TO SN JOSE;BONIFACIO ST-PROGRESO ST.;CR;30.00;;
PROV. RD TO SN JOSE;DEL PILAR ST-BONIFACIO ST;RR;25.00;;
;CR. PROV'L ROAD - BAGGAO - IMURUNG ROAD;RR;25.00;;
(NORTHWEST SIDE);CANILLAS ST-PROV'L RD SN JOSE;RR;20.00;;
(NORTHWEST SIDE);PROGRESO ST - BAGGAO - IMURUNG RD TO FULAY RIVER;RR;20.00;;
(NORTHWEST SIDE);DEL PILAR ST-TAGUING-BUNUGAN;RR;15.00;;
BONIFACIO ST;WSP RD. - GEN. LUNA ST;RR;25.00;;
BONIFACIO ST;GEN LUNA ST-FULAY RIVER;RR;20.00;;
GEN LUNA ST;PROGRESO ST-TAGUING-BUNUGAN;RR;20.00;;
GEN LUNA ST;BONIFACIO ST- ROAD-END;RR;20.00;;
MABINI ST & DEL PILAR ST;PROV'L. RD-SN JOSE-GEN LUNA;RR;20.00;;
PROGRESO ST;PROV'L. RD-SN JOSE-GEN LUNA;RR;20.00;;
PROGRESO ST;GEN LUNA ST-FULAY RIVER;RR;20.00;;
PROGRESO ST;PROV'L RD-SAN JOSE-FULAY RIV;RR;20.00;;
WSP ROAD;BAGGAO-IMURUNG RD PROV'L RD;RR;15.00;;
ADAOAG;BARANGAY ROAD;RR;20.00;;
AGAMAN PROPER;BARANGAY ROAD;RR;20.00;;
AGAMAN NORTE;BARANGAY ROAD;RR;20.00;;
AGAMAN SUR;BARANGAY ROAD;RR;20.00;;
ALVA;BARANGAY ROAD;RR;20.00;;
