RDO:;RDO NO. 13 TUGUEGARAO, CAGAYAN;(Formerly RDO No. 9 - Tuguegarao, Cagayan);;;
SAN JOSE;NATIONAL ROAD;RR;25.00;;
SAN JOSE;OTHER BARANGAY ROAD;RR;20.00;;
SAN JOSE;INTERIOR LOTS;RR;15.00;;
SANTA CLARA;PROVINCIAL ROADS;RR;20.00;;
SANTA CLARA;OTHER BARANGAY ROAD;RR;15.00;;
SANTA CLARA;INTERIOR LOTS;RR;8.00;;
SANTA CRUZ;NATIONAL ROAD;RR;25.00;;
SANTA CRUZ;OTHER BARANGAY ROAD;RR;20.00;;
SANTA CRUZ;INTERIOR LOTS;RR;15.00;;
SANTA MARIA;BARANGAY ROAD ALONG SCHOOL SITE;RR;20.00;;
SANTA MARIA;OTHER BARANGAY ROAD;RR;15.00;;
SANTA MARIA;INTERIOR LOTS;RR;8.00;;
TAPEL;NATIONAL ROAD;RR;25.00;;
TAPEL;OTHER BARANGAY ROAD;RR;20.00;;
TAPEL;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;GONZAGA;;;;
BARANGAY :;ALL  BARANGAYS;;;;
ALL LOTS;;A1;6.50;;
ALL LOTS;;A2;4.00;;
ALL LOTS;;A3;2.50;;
ALL LOTS;;A4;3.50;;
ALL LOTS;;A5;2.50;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;4.50;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;IGUIG;;;;
BARANGAYS :;JAT AND  NATTANZAN;;;;
NATIONAL ROAD;CAMIA ST- IGUIG CENTRL SCH.;RR;45.00;;
NATIONAL ROAD;CAMIA ST- RESIDENCE OF MAYOR F.B. TRINIDAD;RR;45.00;;
NATIONAL ROAD;NATIOAL RD OUTSIDE POBLACION;RR;25.00;;
EVERLASTING ROAD;NAT'L RD-IGUIG CALVARY HILL;RR;45.00;;
EVERLASTING ROAD;NAT'L ROAD - SANTAN ST;RR;35.00;;
CAMIA ST;CATHOLIC CHURCH -NAT'L HIWAY;RR;45.00;;
CAMIA ST;NATIONAL ROAD - GUMAMELA ST;RR;45.00;;
CAMIA ST;GUMAMELA ST- SANTAN ST;RR;35.00;;
BLACK ORCHID ROAD;NAT'L HIWAY - SANTAN ROAD;RR;45.00;;
SANTAN ROAD;BLACK ORCHID - CAMIA ST;RR;35.00;;
SANTAN ROAD;CAMIA ST- CEMETERY;RR;35.00;;
BOUGAINVILLA ST;CAMIA ST - END OF THE ROAD;RR;35.00;;
ILANG-ILANG ST;CAMIA ST- STREET END;RR;35.00;;
ILANG-ILANG ST;CAMIA ST - ROAD END;RR;35.00;;
LILY ST;CAMIA ST - SANTAN ROAD;RR;35.00;;
DAISY ST;CAMIA ST- SANTAN ROAD;RR;35.00;;
SAMPAGUITA ROAD;CAMIA ST- SANTAN ST;RR;35.00;;
GUMAMELA ST;NATIONAL HIWAY - STREET END;RR;35.00;;
SAINT ANTHONY ST;NATIONAL HIWAY - STREET END;RR;35.00;;
ALONG ST. GOING CEMETERY;NATIONAL HIWAY - SANTAN ST;RR;35.00;;
ALONG ST. GOING CEMETERY;SANTAN ST - STREET END;RR;25.00;;
ALL OTHER RESIDENTIAL LOTS NOT SITUATED ALONG THE STRETCH OF THE NATIONAL HIWAY;;RR;15.00;;
CITY/MUNICIPALITY:;IGUIG;;;;
BARANGAY :;VARIOUS;;;;
ATULU;BARANGAY ROAD;RR;15.00;;
BACULUD;NATIONAL ROAD;RR;20.00;;
BACULUD;BARANGAY ROAD;RR;15.00;;
BAYO;BARANGAY ROAD;RR;15.00;;
CAMPO;BARANGAY ROAD;RR;20.00;;
DUMPAO;NATIONAL ROAD;RR;20.00;;
DUMPAO;BARANGAY ROAD;RR;15.00;;
GAMMAD;NATIONAL ROAD;RR;20.00;;
GAMMAD;BARANGAY ROAD;RR;15.00;;
GARAB;BARANGAY ROAD;RR;15.00;;
MALABBAC;NATIONAL ROAD;RR;20.00;;
MALABBAC;BARANGAY ROAD;RR;15.00;;
MANAOAG;BARANGAY ROAD;RR;15.00;;
MINANGA NORTE;BARANGAY ROAD;RR;20.00;;
MINANGA SUR;BARANGAY ROAD;RR;20.00;;
REDONDO;BARANGAY ROAD;RR;20.00;;
SALAMAGUE;BARANGAY ROAD;RR;20.00;;
SANTIAGO;BARANGAY ROAD;RR;15.00;;
SAN ISIDRO;PROVINCIAL ROAD;RR;20.00;;
SAN ISIDRO;BARANGAY ROAD;RR;15.00;;
SAN LORENZO;NATIONAL ROAD;RR;20.00;;
SAN LORENZO;BARANGAY ROAD;RR;15.00;;
SANTA BARBARA;BARANGAY ROAD;RR;15.00;;
SANTA ROSA;PROVINCIAL ROAD;RR;20.00;;
SANTA ROSA;BARANGAY ROAD;RR;15.00;;
SANTA TERESA;NATIONAL ROAD;RR;20.00;;
SANTA TERESA;BARANGAY ROAD;RR;15.00;;
SAN ESTEBAN;BARANGAY ROAD;RR;25.00;;
SAN VICENTE;BARANGAY ROAD;RR;20.00;;
CITY/MUNICIPALITY:;IGUIG;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;7.50;;
ALL LOTS;;A2;4.00;;
ALL LOTS;;A3;3.00;;
ALL LOTS;;A4;3.50;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;5.50;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;LAL-LO;;;;
BARANGAY  :;POBLACION;;;;
EAST SIRIBAN ST;PERALTA ST-TESORO ST;RR;130.00;;
WEST SIRIBAN ST;PERALTA ST-TESORO ST;RR;100.00;;
WEST AUSTRIACO ST;L. DUPAYA ST-TESORO ST;RR;130.00;;
WEST AUSTRIACO ST;TESORO ST - DIRAIN ST;RR;100.00;;
EAST AUSTRAICO ST;L. DUPAYA ST - DIRAIN ST;RR;130.00;;
NATIONAL ROAD;L. DUPAYA ST- DIRAIN ST;RR;130.00;;
NAT'L HIWAY (BAGUMBAYAN);AGLIPAY ST- BRGY BOUNDERY;RR;130.00;;
NAT'L HIWAY (MAGAPIT);BOTH ENDS OF BRGY BOUNDERY;RR;130.00;;
P. DUPAYA ST;L. DUPAYA ST-DIRAIN ST;RR;130.00;;
L. DUPAYA ST;AUSTRIACO ST-P. DUPAYA ST;RR;130.00;;
L. DUPAYA ST;CAGAYAN RIVER- AUTRIACO ST;RR;100.00;;
PETRALBA ST;SIRIBAN ST-AUTRIACO ST;RR;130.00;;
PETRALBA ST;AGUILAR ST- SIRIBAN ST;RR;100.00;;
ARANETA ST;SIRIBAN ST-P. DUPAYA ST;RR;130.00;;
ARANETA ST;AGUILAR ST-SIRIBAN ST;RR;100.00;;
NORTH TESORO ST;SIRIBAN ST-P. DUPAYA ST;RR;130.00;;
;SAUANG ST - SIRIBAN ST;RR;100.00;;
SOUTH TESORO ST;AUSTRIACO ST-P. DUPAYA ST;RR;130.00;;
SOUTH TESORO ST;SIRIBAN ST-AUSTRIACO ST;RR;100.00;;
ROSALES ST;NATIONAL RD- P. DUPAYA ST;RR;130.00;;
IFURING ST;AUSTRIACO ST- P. DUPAYA ST;RR;130.00;;
DARAIN ST;CAGAN RIVER - AUSTRIACO ST;RR;130.00;;
DARAIN ST;AUSTRIACO ST- P. DUPAYA ST;RR;130.00;;
SAUANG ST;PETRALBA ST- TESORO ST;RR;100.00;;
EAST AGUILAR ST;PETRALBA ST-ARANETA ST;RR;100.00;;
WEST AGUILAR ST;PETRALBA ST-ARANETA ST;RR;70.00;;
CITY/MUNICIPALITY:;LAL-LO;;;;
BARANGAY :;VARIOUS;;;;
ABAGAO;BARANGAY ROAD;RR;45.00;;
ALAGUIA;NATIONAL ROAD;RR;85.00;;
ALAGUIA;BARANGAY ROAD;RR;45.00;;
BAGUMBAYAN;NATIONAL ROAD;RR;85.00;;
BAGUMBAYAN;BARANGAY ROAD;RR;45.00;;
BANGAG;NATIONAL ROAD;RR;85.00;;
BANGAG;BARANGAY ROAD;RR;45.00;;
BICAL;BARANGAY ROAD;RR;40.00;;
BICUD;NATIONAL ROAD;RR;85.00;;
BICUD;BARANGAY ROAD;RR;45.00;;
BINAG;BARANGAY ROAD;RR;45.00;;
CABAYABASAN;NATIONAL ROAD;RR;75.00;;
CABAYABASAN;BARANGAY ROAD;RR;40.00;;
CAGORAN;BARANGAY ROAD;RR;45.00;;
CAMBONG;BARANGAY ROAD;RR;40.00;;
CATAYAUAN;NATIONAL ROAD;RR;85.00;;
CATAYAUAN;BARANGAY ROAD;RR;45.00;;
CATUGAN;BARANGAY ROAD;RR;40.00;;
CULLIT;BARANGAY ROAD;RR;45.00;;
DAGUPAN;BARANGAY ROAD;RR;45.00;;
DALAYA;BARANGAY ROAD;RR;45.00;;
FABRICA;BARANGAY ROAD;RR;45.00;;
FUSINA;BARANGAY ROAD;RR;45.00;;
JURISDICCION;NATIONAL ROAD;RR;85.00;;
JURISDICCION;BARANGAY ROAD;RR;45.00;;
LALAFUGAN;NATIONAL ROAD;RR;85.00;;
LALAFUGAN;BARANGAY ROAD;RR;45.00;;
LOGAC;NATIONAL ROAD;RR;85.00;;
LOGAC;BARANGAY ROAD;RR;45.00;;
MAGALLUNGON;BARANGAY ROAD;RR;45.00;;
MAGAPIT;NATIONAL ROAD;RR;85.00;;
MAGAPIT;BARANGAY ROAD;RR;45.00;;
MALANAO;BARANGAY ROAD;RR;40.00;;
MAXINGAL;NATIONAL ROAD;RR;85.00;;
MAXINGAL;BARANGAY ROAD;RR;45.00;;
NAGUILLIAN;BARANGAY ROAD;RR;45.00;;
PARANUM;BARANGAY ROAD;RR;45.00;;
ROSARIO;BARANGAY ROAD;RR;40.00;;
SAN ANTONIO;BARANGAY ROAD;RR;40.00;;
SAN JOSE;NATIONAL ROAD;RR;85.00;;
SAN JOSE;BARANGAY ROAD;RR;45.00;;
SAN JUAN;BARANGAY ROAD;RR;45.00;;
SAN LORENZO;NATIONAL ROAD;RR;85.00;;
SAN LORENZO;BARANGAY ROAD;RR;45.00;;
SANTA MARIA;NATIONAL ROAD;RR;85.00;;
SANTA MARIA;BARANGAY ROAD;RR;45.00;;
SAN MARIANO;BARANGAY ROAD;RR;40.00;;
TUCALANA;NATIONAL ROAD;RR;85.00;;
TUCALANA;BARANGAY ROAD;RR;45.00;;
CITY/MUNICIPALITY:;LAL-LO;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;7.50;;
ALL LOTS;;A2;5.00;;
ALL LOTS;;A3;4.00;;
ALL LOTS;;A4;3.50;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;6.00;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;LASAM;;;;
BARANGAY  :;CENTRO;;;;
NICOLAS AGATEP ST;BASILIO MEDRANO - PRIME ALVAREZ ST;CR;75.00;;
NICOLAS AGATEP ST;CERIA SALES ST- BASILIO MEDRANO;RR;65.00;;
NICOLAS AGATEP ST;T. BULUSAN ST- GERARDO ST;RR;45.00;;
PEDRO BARUT ST;PROV'L ROAD - NICOLAS AGATEP;RR;45.00;;
ESTEBAN JOVE ST;IGNACIO JURADO ST-NICOLAS AGATEP ST;RR;45.00;;
ESTEBAN JOVE ST;EASTWARD UP TO PROV'L ROAD;RR;35.00;;
T. BULUSAN ST;NICOLAS AGATEP ST-BGY BDRY;RR;35.00;;
GERARDO ST;;RR;35.00;;
G. GALAPON ST;NICOLAS AGATEP-PEDRO BARUT;RR;35.00;;
I. GARCIA ST;IGNACIO JURADO ST-NAT'L RD;RR;35.00;;
ALONG NFA ROAD-BOTH SIDES;;RR;35.00;;
ALONG INC CHURCH-BOTH SIDES;;RR;35.00;;
AGGUNETAN;BARANGAY ROAD;RR;15.00;;
ALANNAY;PROVINCIAL ROAD;RR;20.00;;
ALANNAY;BARANGAY ROAD;RR;15.00;;
BATTALAN;BARANGAY ROAD;RR;15.00;;
CABATACAN EAST;BARANGAY ROAD;RR;15.00;;
CABATACAN WEST;BARANGAY ROAD;RR;20.00;;
CALAPANGAN NORTE;BARANGAY ROAD;RR;15.00;;
CALAPANGAN SUR;BARANGAY ROAD;RR;20.00;;
CALLAO NORTE;BARANGAY ROAD;RR;20.00;;
CALLAO SUR;BARANGAY ROAD;RR;20.00;;
CALALIGAN;BARANGAY ROAD;RR;15.00;;
CABUN;NATIONAL ROAD;RR;20.00;;
CABUN;BARANGAY ROAD;RR;15.00;;
FINUGU NORTE;BARANGAY ROAD;RR;15.00;;
IGNACIO JURADO;BARANGAY ROAD;RR;20.00;;
MAGSAYSAY;BARANGAY ROAD;RR;15.00;;
MALINTA;BARANGAY ROAD;RR;15.00;;
MINANGA NORTE;BARANGAY ROAD;RR;15.00;;
MINANGA SUR;BARANGAY ROAD;RR;15.00;;
NABANNAGAN EAST;NATIONAL ROAD;RR;20.00;;
NABANNAGAN EAST;BARANGAY ROAD;RR;15.00;;
NABANNAGAN WEST;BARANGAY ROAD;RR;15.00;;
CITY/MUNICIPALITY:;LASAM;;;;
BARANGAY :;VARIOUS;;;;
PERU;NATIONAL ROAD;RR;20.00;;
PERU;BARANGAY ROAD;RR;15.00;;
SAN PEDRO;NATIONAL ROAD;RR;20.00;;
SAN PEDRO;BARANGAY ROAD;RR;15.00;;
SICALAO;BARANGAY ROAD;RR;8.00;;
TAGAO;BARANGAY ROAD;RR;8.00;;
TUCALANPASSING;BARANGAY ROAD;RR;8.00;;
VIGA;BARANGAY ROAD;RR;15.00;;
CITY/MUNICIPALITY:;LASAM;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;6.00;;
ALL LOTS;;A2;3.50;;
ALL LOTS;;A3;3.00;;
ALL LOTS;;A4;2.50;;
ALL LOTS;;A5;1.50;;
ALL LOTS;;A6;3.00;;
ALL LOTS;;A7;5.00;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;PAMPLONA;;;;
BARANGAY  :;CENTRO;;;;
RIZAL ST;FT. OF PAMPLONA BRIDE - KAMAGONG ST;RR;55.00;;
BAYOT ST;RIZAL ST- IPIL ST;RR;55.00;;
BAYOT ST;ALMASIGA ST-IPIL ST;RR;45.00;;
NARRA ST;YAKAL ST-KAMAGONG ST;RR;55.00;;
MOLAVE ST;YAKAL ST- BAYOT ST;RR;55.00;;
MOLAVE ST;BAYOT ST - KAMAGONG ST;RR;45.00;;
YAKAL ST;RIZAL ST-IPIL ST;RR;55.00;;
YAKAL ST;IMELDA ST - IPIL ST;RR;45.00;;
GUIJO ST;BAYOT ST - KAMAGONG ST;RR;45.00;;
IPIL ST;YAKAL ST - TANGUILE ST;RR;45.00;;
TINDALO ST;YAKAL ST - TANGUILE ST;RR;45.00;;
ALMASIGA ST;BAYAT ST - TANGUILE ST;RR;45.00;;
ACASIA ST;ALMASIGA - GUIJO ST;RR;45.00;;
ACASIA ST;ALMASIGA ST- RIVER CONTROL;RR;40.00;;
DAO ST;ALMASIGA ST- GUIJO ST;RR;45.00;;
DAO ST;ALMASIGA ST- RIVER CONTROL;RR;40.00;;
TANGUILE ST;ALMASIGA ST- GUIJO ST;RR;45.00;;
TANGUILE ST;ALMASIGA ST- RIVER CONTROL;RR;40.00;;
KAMAGONG ST;NARRA ST - GUIJO ST;RR;45.00;;
ABBANGKERUAN;NATIONAL ROAD;RR;20.00;;
ABBANGKERUAN;INTERIOR LOTS;RR;15.00;;
TALLASITAN;NATIONAL ROAD;RR;25.00;;
TALLASITAN;INTERIOR LOTS;RR;20.00;;
BAGU;NATIONAL ROAD;RR;25.00;;
BAGU;BARANGAY ROAD;RR;20.00;;
BAGU;INTERIOR LOTS;RR;15.00;;
BALINGIT;BARANGAY ROAD;RR;20.00;;
BALINGIT;INTERIOR LOTS;RR;15.00;;
BIDDUANG;NATIONAL ROAD;RR;30.00;;
BIDDUANG;INTERIOR LOTS;RR;20.00;;
CITY/MUNICIPALITY:;PAMPLONA;;;;
BARANGAY :;VARIOUS;;;;
CABAGGAN;NATIONAL ROAD;RR;20.00;;
CABAGGAN;INTERIOR LOTS;RR;15.00;;
CAPALALIAN;BARANGAY ROAD;RR;20.00;;
CAPALALIAN;INTERIOR LOTS;RR;8.00;;
CASITAN;BARANGAY ROAD;RR;20.00;;
CASITAN;INTERIOR LOTS;RR;15.00;;
CURVA;NATIONAL ROAD;RR;35.00;;
CURVA;PROVINCIAL ROAD;RR;30.00;;
CURVA;INTERIOR ROAD;RR;20.00;;
GATTU;BARANGAY ROAD;RR;15.00;;
GATTU;INTERIOR LOTS;RR;8.00;;
MASI;NATIONAL ROAD;RR;30.00;;
MASI;BARANGAY ROAD;RR;20.00;;
NAGATTATAN;NATIONAL ROAD;RR;20.00;;
NAGATTATAN;INTERIOR LOTS;RR;15.00;;
NAGTUPACAN;BARANGAY ROAD;RR;15.00;;
NAGTUPACAN;INTERIOR LOTS;RR;8.00;;
SAN JUAN;NATIONAL ROAD;RR;30.00;;
SAN JUAN;PROVINCIAL ROAD;RR;25.00;;
SANTA CRUZ;NATIONAL ROAD;RR;30.00;;
;INTERIOR LOTS;RR;20.00;;
TABBA;BARANGAY ROAD;RR;15.00;;
TABBA;INTERIOR LOTS;RR;8.00;;
TUPANNA;BARANGAY ROAD;RR;15.00;;
TUPANNA;INTERIOR LOTS;RR;8.00;;
CITY/MUNICIPALITY:;PAMPLONA;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;5.50;;
ALL LOTS;;A2;2.00;;
ALL LOTS;;A3;2.50;;
ALL LOTS;;A4;2.50;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;4.50;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;PENABLANCA;;;;
BARANGAY  :;CENTRO;;;;
NATIONAL ROAD;;RR;55.00;;
FR. NATIONAL ROAD & ALONG MARALLAG ST;;RR;45.00;;
FR. NATIONAL ROAD & ALONG TAGUINOD ST;;RR;45.00;;
FR. NATIONAL ROAD & ALONG SAQUING ST;;RR;45.00;;
FR. NATIONAL ROAD & ALONG REMERO ST;;RR;45.00;;
FR. NATIONAL ROAD & ALONG ALONZO ST;;RR;40.00;;
FR. NATIONAL ROAD & ALONG PELAGIO ST;;RR;40.00;;
FR. NATIONAL ROAD & ALONG GUILLERMO ST;;RR;40.00;;
ALONG PEREZ ST, CARAG ST & TULIAO ST;;RR;35.00;;
AGUGADDAN;PROVINCIAL ROAD;RR;45.00;;
AGUGADDAN;BARANGAY ROAD;RR;35.00;;
ALIMANNAO;MAHARLIKA HIGHWAY;RR;45.00;;
ALIMANNAO;BARANGAY ROAD;RR;35.00;;
BALIUAG;BARANGAY ROAD;RR;25.00;;
BICAL;BARANGAY ROAD;RR;25.00;;
BUGATAY;BARANGAY ROAD;RR;25.00;;
BUYUN;BARANGAY ROAD;RR;25.00;;
CABASAN;BARANGAY ROAD;RR;25.00;;
CABBO;BARANGAY ROAD;RR;25.00;;
CALLAO;MALIBABAG ROAD;RR;35.00;;
CALLAO;BARANGAY ROAD;RR;25.00;;
CAMASI;NATIONAL ROAD;RR;55.00;;
CAMASI;BARANGAY ROAD;RR;45.00;;
CITY/MUNICIPALITY:;PENABLANCA;;;;
BARANGAY :;VARIOUS;;;;
DODAN;NATIONAL ROAD;RR;35.00;;
DODAN;BARANGAY ROAD;RR;25.00;;
LAPI;BARANGAY ROAD;RR;25.00;;
MALIBABAG;PROVINCIAL ROAD;RR;45.00;;
MALIBABAG;BARANGAY ROAD;RR;35.00;;
MANGGA;BARANGAY ROAD;RR;25.00;;
MINANGA;BARANGAY ROAD;RR;25.00;;
NABBABALAYAN;BARANGAY ROAD;RR;25.00;;
NANGUILLATAN;BARANGAY ROAD;RR;25.00;;
NANNARIAN;PROVINCIAL ROAD;RR;45.00;;
NANNARIAN;BARANGAY ROAD;RR;35.00;;
PARABBA;NATIONAL ROAD;RR;35.00;;
PARABBA;BARANGAY ROAD;RR;25.00;;
PATAGUELEG;NATIONAL ROAD;RR;35.00;;
PATAGUELEG;BARANGAY ROAD;RR;25.00;;
QUIBAL;MAHARLIKA HIGHWAY;RR;35.00;;
QUIBAL;BARANGAY ROAD;RR;25.00;;
SAN ROQUE;PROVINCIAL ROAD;RR;35.00;;
SAN ROQUE;BARANGAY ROAD;RR;25.00;;
SISIM;BARANGAY ROAD;RR;25.00;;
CITY/MUNICIPALITY:;PENABLANCA;;;;
BARANGAY:;ALL BARANGAYS;;;;
ALL LOTS;;A1;7.00;;
ALL LOTS;;A2;4.00;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;2.50;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;6.00;;
ALL LOTS;;A8;1.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;PIAT;;;;
BARANGAY:;POBLACION I;;;;
POBLACION I;VICITACION TOWARDS PRO'L RD;RR;30.00;;
POBLACION I;ALL OTHE BRGY ROAD;RR;30.00;;
POBLACION I;INTERIOR LOTS;RR;25.00;;
POBLACION II;VISITACION ST TOWARDS STO DOMINGO ST;RR;30.00;;
POBLACION II;STA. CRUZ ST TOWARDS STO DOMINGO ST DOMINGO ST;RR;30.00;;
POBLACION II;RUENCAMISO ST TOWARDS STO DOMINGO ST;RR;30.00;;
POBLACION II;CASIBANG ST TOWARDS  STO DOMINGO ST;RR;30.00;;
POBLACION II;STO DOMINGO ST- PROVL' ROAD;RR;30.00;;
POBLACION II;ALL OTHER BARANGAY ROAD;RR;30.00;;
POBLACION II;INTERIOR LOTS;RR;25.00;;
APAYAO;ALL  BARANGAY ROADS;RR;20.00;;
APAYAO;INTERIOR LOTS;RR;15.00;;
AQUIB;ALL  BARANGAY ROADS;RR;20.00;;
AQUIB;INTERIOR LOTS;RR;15.00;;
AQUIB;NATIONAL ROAD;RR;20.00;;
BARING;INTERIOR LOT/ROAD;RR;15.00;;
CALAOAGAN;ALL  BARANGAY ROADS;RR;20.00;;
CALAOAGAN;INTERIOR LOTS;RR;15.00;;
CATARAUAN;ALL  BARANGAY ROADS;RR;20.00;;
CATARAUAN;INTERIOR LOTS;RR;15.00;;
DUGAYUNG;ALL  BARANGAY ROADS;RR;20.00;;
DUGAYUNG;INTERIOR LOTS;RR;15.00;;
GUMARUENG;ALL  BARANGAY ROADS;RR;20.00;;
GUMARUENG;INTERIOR LOTS;RR;15.00;;
GUMARUENG;INTERIOR LOTS;;;;
CITY/MUNICIPALITY:;PIAT;;;;
BARANGAY :;VARIOUS;;;;
MACAPIL;ALL  BARANGAY ROADS;RR;20.00;;
MACAPIL;INTERIOR LOTS;RR;15.00;;
MAGUILING;ALL  BARANGAY ROADS;RR;20.00;;
MAGUILING;INTERIOR LOTS;RR;15.00;;
SICATNA;ALL  BARANGAY ROADS;RR;20.00;;
SICATNA;INTERIOR LOTS;RR;15.00;;
SANTA BARBARA;ALL  BARANGAY ROADS;RR;20.00;;
SANTA BARBARA;INTERIOR LOTS;RR;15.00;;
SANTO DOMINGO;ALL  BARANGAY ROADS;RR;20.00;;
SANTO DOMINGO;INTERIOR LOTS;RR;15.00;;
MINANGA;ALL  BARANGAY ROADS;RR;20.00;;
MINANGA;INTERIOR LOTS;RR;15.00;;
VILLAREY;ALL  BARANGAY ROADS;RR;20.00;;
VILLAREY;INTERIOR LOTS;RR;15.00;;
VILLAREYNO;ALL  BARANGAY ROADS;RR;20.00;;
VILLAREYNO;INTERIOR LOTS;RR;15.00;;
WARAT;ALL  BARANGAY ROADS;RR;20.00;;
WARAT;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;PIAT;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;5.50;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;3.00;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;4.50;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;1.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;RIZAL;;;;
CITY/MUNICIPALITY:;;;;;
BARANGAY :;POBLACION;;;;
PALMA ST (EAST SIDE);QUEZON ST-BLUMENTRITT ST;RR;55.00;;
(WEST SIDE);QUEZON ST- NATIONAL ROAD;RR;45.00;;
(WEST SIDE);"BLUMENTRITT ST- STREET ""A""";RR;45.00;;
RIZAL ST;BURGOS ST- BLUMENTRITT ST;RR;55.00;;
MAGSAYSAY ST;;RR;55.00;;
TRECE MARTINEZ ST;"AGUINALDO ST - STREET ""A""";RR;55.00;;
BLUMENTRITT ST;;RR;55.00;;
AGUINALDO ST;;RR;55.00;;
QUEZON ST;;RR;55.00;;
BURGOS ST (NORTH SIDE);"WESTERN SIDE OF SFA COMPOUND TO STREET ""C""";RR;55.00;;
(SOUTH SIDE);"BURGOS ST - STREET ""C""";RR;45.00;;
"STREET ""C""";MUNICIPAL HALL - PUBLIC MKT.;RR;45.00;;
NATIONAL ROAD;PALMA ST - PROVINCIAL ROAD;RR;45.00;;
"STREET ""A""";;RR;25.00;;
ANAGUAN;NATIONAL ROAD;RR;35.00;;
ANAGUAN;BARANGAY ROAD;RR;30.00;;
ANURTURU;BARANGAY ROAD;RR;30.00;;
ANUNGU;BARANGAY ROAD;RR;30.00;;
BALUNCANAG;NATIONAL ROAD;RR;35.00;;
BALUNCANAG;BARANGAY ROAD;RR;30.00;;
BATU;NATIONAL ROAD;RR;35.00;;
BATU;BARANGAY ROAD;RR;30.00;;
CAPACCUAN;BARANGAY ROAD;RR;30.00;;
DUNGGAN;BARANGAY ROAD;RR;30.00;;
DUYUN;BARANGAY ROAD;RR;30.00;;
CITY/MUNICIPALITY:;RIZAL;;;;
BARANGAY :;VARIOUS;;;;
GADDANGAO;NATIONAL ROAD;RR;35.00;;
GADDANGAO;BARANGAY ROAD;RR;30.00;;
ILLURU;NATIONAL ROAD;RR;35.00;;
ILLURU;BARANGAY ROAD;RR;30.00;;
LINNO-C;NATIONAL ROAD;RR;35.00;;
LINNO-C;BARANGAY ROAD;RR;30.00;;
LIWAN;NATIONAL ROAD;RR;35.00;;
LIWAN;BARANGAY ROAD;RR;30.00;;
MABBANG;NATIONAL ROAD;RR;35.00;;
MABBANG;BARANGAY ROAD;RR;25.00;;
MASI;BARANGAY ROAD;RR;25.00;;
MAUANAN;NATIONAL ROAD;RR;35.00;;
MAUANAN;BARANGAY ROAD;RR;30.00;;
MINANGA;BARANGAY ROAD;RR;25.00;;
MANAUATAN;BARANGAY ROAD;RR;25.00;;
NANUNGARAN;BARANGAY ROAD;RR;25.00;;
CAMBABANGAN;BARANGAY ROAD;RR;25.00;;
PASINGAN;BARANGAY ROAD;RR;25.00;;
SAN JUAN NORTE;BARANGAY ROAD;RR;25.00;;
SAN JUAN SUR;BARANGAY ROAD;RR;25.00;;
SINICKKING;BARANGAY ROAD;RR;25.00;;
LATTUT;NATIONAL ROAD;RR;35.00;;
LATTUT;BARANGAY ROAD;RR;30.00;;
CITY/MUNICIPALITY:;RIZAL;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;5.50;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;4.00;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;3.00;;
