RDO:;RDO NO. 13 - TUGUEGARAO, CAGAYAN;;;;
ROAD TO CEMETERY;DICHOSO ST-DADDA;RR;85.00;;
ROAD TO CEMETERY;DICHOSO ST-BRY ANGUIRAY BDRY;RR;85.00;;
DICHOSO ST;SN RAFAEL ST-RD TO CEMETERY;RR;85.00;;
SAN PEDRO ST;SN RAFAEL ST- RD TO CEMETERY;RR;85.00;;
SANTO DOMINGO ST;SN RAFAEL ST-RD TO CEMETERY;RR;85.00;;
SAN ANDRES ST;NATIONAL RD-RD TO CEMETERY;RR;85.00;;
ROAD TO DADDA;RD TO CEMETERY - BLISS SITE;RR;85.00;;
CITY/MUNICIPALITY:;AMULUNG;;;;
CITY/MUNICIPALITY:;AMULUNG;;;;
BARANGAY :;ABOLO;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;AMULUNG;;;;
CITY/MUNICIPALITY:;AMULUNG;;;;
BARANGAY :;AGUIRIT;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;AMULUNG;;;;
CITY/MUNICIPALITY:;AMULUNG;;;;
BARANGAY :;ALITUNTUNG;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;AMULUNG;;;;
BARANGAY :;ANNABUCULAN;;;;
