RDO:;RDO NO. 47 - EAST MAKATI;;;;
DONA ANGELA'S GARDEN;C. PALANCA ST;RC;48,000.00;;
DONA ANGELA'S GARDEN;C. PALANCA ST;CC;57,600.00;;
DONA ANGELA'S GARDEN;C. PALANCA ST;PS;34,560.00;;
ELECTRA HOUSE;ESTEBAN ST;RC;56,000.00;;
ELECTRA HOUSE;ESTEBAN ST;CC;63,000.00;;
ELECTRA HOUSE;ESTEBAN ST;PS;37,800.00;;
ETON PARKVIEW GREENBELT;GAMBOA ST;RC;80,000.00;;
ETON PARKVIEW GREENBELT;GAMBOA ST;CC;90,000.00;;
ETON PARKVIEW GREENBELT;GAMBOA ST;PS;54,000.00;;
EUROVILLA CONDOMINIUM I;V.A. RUFINO ST (HERRERA ST);RC;48,000.00;;
EUROVILLA CONDOMINIUM I;V.A. RUFINO ST (HERRERA ST);CC;49,800.00;;
EUROVILLA CONDOMINIUM I;V.A. RUFINO ST (HERRERA ST);PS;29,900.00;;
EUROVILLA CONDOMINIUM II;V.A. RUFINO ST;RC;50,000.00;;
EUROVILLA CONDOMINIUM II;V.A. RUFINO ST;CC;54,780.00;;
EUROVILLA CONDOMINIUM II;V.A. RUFINO ST;PS;32,870.00;;
EXCHANGE CORNER AT LEGAZPI BUILDING;V.A. RUFINO-BOLANOS;CC;55,000.00;;
EXCHANGE CORNER AT LEGAZPI BUILDING;V.A. RUFINO-BOLANOS;PS;33,000.00;;
FEDMAN SUITE CONDOMINIUM;SALCEDO ST;RC;48,000.00;;
FEDMAN SUITE CONDOMINIUM;SALCEDO ST;CC;51,500.00;;
FEDMAN SUITE CONDOMINIUM;SALCEDO ST;PS;30,900.00;;
FELIZA BUILDING;V.A. RUFINO;CC;55,000.00;;
FELIZA BUILDING;V.A. RUFINO;PS;33,000.00;;
FIRST CAPITAL CONDOMINIUM (FCC);RADA ST;CC;68,000.00;;
FIRST CAPITAL CONDOMINIUM (FCC);RADA ST;PS;40,800.00;;
FIRST MIDLAND;GAMBOA ST;CC;0.00;Ownership to FIRST MIDLAND is not a Condominium Certificate of Title (CCT), as justified by the RDO.;
GERVASIA CORP. CENTER;AMORSOLO ST;CC;48,500.00;;
GERVASIA CORP. CENTER;AMORSOLO ST;PS;29,100.00;;
GREENBELT CHANCELLOR;RADA ST;RC;80,000.00;;
GREENBELT CHANCELLOR;RADA ST;CC;90,000.00;;
GREENBELT CHANCELLOR;RADA ST;PS;54,000.00;;
GREENBELT EXCELSIOR;C. PALANCA ST;RC;80,000.00;;
GREENBELT EXCELSIOR;C. PALANCA ST;CC;90,000.00;;
GREENBELT EXCELSIOR;C. PALANCA ST;PS;54,000.00;;
GREENBELT MADISON (FERROS);SALCEDO ST;RC;80,000.00;;
GREENBELT MADISON (FERROS);SALCEDO ST;CC;90,000.00;;
GREENBELT MADISON (FERROS);SALCEDO ST;PS;54,000.00;;
GREENBELT MANSION;PEREA ST;RC;51,500.00;;
GREENBELT MANSION;PEREA ST;CC;57,600.00;;
GREENBELT MANSION;PEREA ST;PS;34,560.00;;
GREENBELT PARK PLACE;C. PALANCA ST;RC;80,000.00;;
GREENBELT PARK PLACE;C. PALANCA ST;CC;90,000.00;;
GREENBELT PARK PLACE;C. PALANCA ST;PS;54,000.00;;
GREENBELT RADISONS;AGUIRRE ST;RC;80,000.00;;
GREENBELT RADISONS;AGUIRRE ST;CC;90,000.00;;
GREENBELT RADISONS;AGUIRRE ST;PS;54,000.00;;
JACKSON CONDOMINIUM;;CC;0.00;Ownership to JACKSON CONDOMINIUM is not a Condominium Certificate of Title (CCT).;
KL MOSAIC;GAMBOA ST;RC;80,000.00;;
KL MOSAIC;GAMBOA ST;CC;90,000.00;;
KL MOSAIC;GAMBOA ST;PS;54,000.00;;
LA MAISION RADA CONDOMINIUM;RADA ST;RC;68,000.00;;
LA MAISION RADA CONDOMINIUM;RADA ST;CC;74,500.00;;
LA MAISION RADA CONDOMINIUM;RADA ST;PS;44,700.00;;
LAZATIN;DELA ROSA ST;CC;54,000.00;;
LAZATIN;DELA ROSA ST;PS;32,400.00;;
LEGASPI APARTMENT;AMORSOLO ST;CC;0.00;LEGASPI APARTMENT is no longer existing;
LEGASPI PARK VIEW CONDOMINIUM;LEGASPI ST;RC;49,800.00;;
LEGASPI PARK VIEW CONDOMINIUM;LEGASPI ST;CC;57,600.00;;
