RDO:;RDO NO.  10  BONTOC, MT. PROVINCE;;
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;GUEDAY;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;5.50
ALL LOTS;;A25;11.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;35.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;9.50
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;KIN-IWAY;;
ALL LOTS;;CR;105.00
ALL LOTS;;RR;95.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;5.50
ALL LOTS;;A25;11.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;85.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;9.00
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;LACMAAN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;5.50
ALL LOTS;;A25;11.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;35.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;9.00
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;LAYLAYA;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;PADANGAAN;;
ALL LOTS;;RR;65.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;7.00
ALL LOTS;;A25;11.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;60.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;10.00
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;PANABUNGEN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;40.00
ALL LOTS;;A15;5.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;15.00
ALL LOTS;INTERIOR;RR;30.00
ALL LOTS;INTERIOR;A1;30.00
ALL LOTS;INTERIOR;A25;9.00
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;PAYEO;;
ALL LOTS;;RR;65.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;8.00
ALL LOTS;;A25;11.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;60.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;10.00
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;SUQUIB;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;5.50
ALL LOTS;;A25;11.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;35.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;9.50
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;TAMBOAN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;35.00
ALL LOTS;;A15;5.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;30.00
ALL LOTS;INTERIOR;A1;30.00
ALL LOTS;INTERIOR;A26;9.00
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;ALAB  ORIENTE;;
ALL LOTS;;RR;200.00
ALL LOTS;;CR;200.00
ALL LOTS;;A1;55.00
ALL LOTS;;A15;15.00
ALL LOTS;;A25;35.00
ALL LOTS;;A29;27.50
ALL LOTS;INTERIOR;RR;180.00
ALL LOTS;INTERIOR;A1;47.50
ALL LOTS;INTERIOR;A15;12.00
ALL LOTS;INTERIOR;A25;30.00
ALL LOTS;INTERIOR;A29;23.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;ALAB PROPER;;
ALL LOTS;;RR;200.00
ALL LOTS;;CR;200.00
ALL LOTS;;A1;55.00
ALL LOTS;;A15;15.00
ALL LOTS;;A25;25.00
ALL LOTS;;A29;27.50
ALL LOTS;INTERIOR;A1;47.50
ALL LOTS;INTERIOR;A15;12.00
ALL LOTS;INTERIOR;A25;30.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;BALILI;;
ALL LOTS;;RR;150.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;11.00
ALL LOTS;;A25;22.50
ALL LOTS;;A29;30.00
ALL LOTS;;;
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;BAYYO;;
ALL LOTS;;RR;100.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;11.00
ALL LOTS;;A25;22.50
ALL LOTS;;A29;30.00
ALL LOTS;;;
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;BONTOC ILI;;
ALL LOTS;;RR;400.00
ALL LOTS;;CR;1,000.00
ALL LOTS;;A1;50.00
ALL LOTS;;A25;40.00
ALL LOTS;;A29;45.00
ALL LOTS;;A44;20.00
ALL LOTS;INTERIOR;RR;360.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;35.00
ALL LOTS;INTERIOR;A29;40.00
ALL LOTS;INTERIOR;A44;17.00
ALL LOTS;INTERIOR;;
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;CALUTTIT;;
ALL LOTS;;RR;450.00
ALL LOTS;;CR;1,000.00
ALL LOTS;;A1;75.00
ALL LOTS;;A25;45.00
ALL LOTS;;A29;35.00
ALL LOTS;;A44;15.00
ALL LOTS;INTERIOR;RR;410.00
ALL LOTS;INTERIOR;A1;67.50
ALL LOTS;INTERIOR;A25;40.00
ALL LOTS;INTERIOR;A29;30.00
ALL LOTS;INTERIOR;A44;10.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;CAN-EO;;
ALL LOTS;;RR;50.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;8.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;30.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;DALICAN;;
ALL LOTS;;RR;50.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;8.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;30.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;GONOGON;;
ALL LOTS;;RR;225.00
ALL LOTS;;CR;200.00
ALL LOTS;;A1;55.00
ALL LOTS;;A15;7.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;35.00
ALL LOTS;INTERIOR;A1;47.50
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;GUINA-ANG;;
ALL LOTS;;RR;100.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;11.00
ALL LOTS;;A25;22.00
ALL LOTS;;A29;30.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;MAINIT;;
ALL LOTS;;RR;100.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;11.00
ALL LOTS;;A25;22.00
ALL LOTS;;A29;30.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;MALIGCONG;;
ALL LOTS;;RR;100.00
ALL LOTS;;CR;100.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;7.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;30.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;POBLACION;;
ALL LOTS;;RR;550.00
ALL LOTS;;CR;1,500.00
ALL LOTS;;A1;75.00
ALL LOTS;;A25;55.00
ALL LOTS;;A44;20.00
ALL LOTS;INTERIOR;RR;500.00
ALL LOTS;INTERIOR;A1;67.50
ALL LOTS;INTERIOR;A25;45.00
ALL LOTS;INTERIOR;A44;15.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;SAMOKI;;
ALL LOTS;;RR;350.00
ALL LOTS;;CR;1,000.00
ALL LOTS;;A1;90.00
ALL LOTS;;A25;47.50
ALL LOTS;;A29;32.50
ALL LOTS;;A44;25.00
ALL LOTS;INTERIOR;RR;325.00
ALL LOTS;INTERIOR;A1;80.00
ALL LOTS;INTERIOR;A25;42.00
ALL LOTS;INTERIOR;A29;27.50
ALL LOTS;INTERIOR;A44;25.00
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;TALUBIN BAN-AY;;
ALL LOTS;;RR;125.00
ALL LOTS;;CR;150.00
ALL LOTS;;A1;55.00
ALL LOTS;;A15;8.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;30.00
ALL LOTS;INTERIOR;A1;47.50
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;TALUBIN DODDO;;
ALL LOTS;;RR;150.00
ALL LOTS;;CR;150.00
ALL LOTS;;A1;55.00
ALL LOTS;;A15;8.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;30.00
ALL LOTS;INTERIOR;A1;47.50
CITY/MUNICIPALITY:;BONTOC;;
BARANGAY:;TOCUCAN;;
ALL LOTS;;RR;175.00
ALL LOTS;;CR;250.00
ALL LOTS;;A1;55.00
ALL LOTS;;A15;10.00
ALL LOTS;;A25;15.00
ALL LOTS;;A29;35.00
ALL LOTS;INTERIOR;RR;160.00
ALL LOTS;INTERIOR;A1;47.50
ALL LOTS;INTERIOR;A15;8.00
ALL LOTS;INTERIOR;A25;12.00
ALL LOTS;INTERIOR;A29;30.00
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;ALUNUGAN;;
ALL LOTS;;RR;20.00
ALL LOTS;;A1;30.00
ALL LOTS;;A15;5.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;15.00
ALL LOTS;INTERIOR;A1;20.00
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;BALANGAO;;
ALL LOTS;;RR;25.00
ALL LOTS;;A1;30.00
ALL LOTS;;A15;5.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;15.00
ALL LOTS;INTERIOR;RR;20.00
ALL LOTS;INTERIOR;A1;20.00
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;BANAO;;
ALL LOTS;;RR;25.00
ALL LOTS;;A1;30.00
ALL LOTS;;A15;7.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;15.00
ALL LOTS;INTERIOR;A1;17.00
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;BANAWEL;;
ALL LOTS;;RR;25.00
ALL LOTS;;A1;30.00
ALL LOTS;;A15;7.00
ALL LOTS;;A25;12.00
ALL LOTS;;A29;15.00
ALL LOTS;INTERIOR;A1;20.00
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;BUTAC;;
ALL LOTS;;RR;25.00
ALL LOTS;;A1;30.00
ALL LOTS;;A15;5.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;20.00
ALL LOTS;INTERIOR;A1;20.00
;;;
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;MADUCAYAN;;
ALL LOTS;;RR;10.00
ALL LOTS;;A1;30.00
ALL LOTS;;A15;6.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;15.00
CITY/MUNICIPALITY:;NATONIN;;
BARANGAY:;POBLACION;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;30.00
ALL LOTS;;A15;7.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;15.00
ALL LOTS;INTERIOR;RR;35.00
ALL LOTS;INTERIOR;A1;20.00
