RDO:;RDO NO. 28 - NOVALICHES;;;(FORMERLY RDO NO. 30 -  NORTH QUEZON CITY);
MAYON;STA MESA HEIGHTS;RR;3,500.00;;
MAYON;STA MESA HEIGHTS;CR;5,000.00;;
N ROXAS;STA MESA HEIGHTS;RR;3,000.00;;
P FLORENTINO;STA MESA HEIGHTS;RR;3,000.00;;
PIY MARGAL;STA MESA HEIGHTS;RR;3,000.00;;
QUEZON BLVD;STA MESA HEIGHTS;CR;9,000.00;;
QUEZON BLVD;STA MESA HEIGHTS;RR;7,000.00;;
SAMAT;STA MESA HEIGHTS;RR;3,000.00;;
SIMOUN;STA MESA HEIGHTS;RR;3,000.00;;
SPEAKER PEREZ;STA MESA HEIGHTS;RR;3,000.00;;
ALL OTHER STREETS;STA MESA HEIGHTS;RR;3,000.00;;
TOWNHOUSE;STA MESA HEIGHTS;RC;8,000.00;;
CONDOMINIUM;STA MESA HEIGHTS;RC;10,000.00;;
CONDOMINIUM;STA MESA HEIGHTS;CC;12,000.00;;
BARANGAY:;MAGSAYSAY;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
ABRA;BAGO BANTAY;RR;1,500.00;;
ANTIQUE;BAGO BANTAY;RR;1,200.00;;
BUKIDNON;BAGO BANTAY;RR;1,200.00;;
CAGAYAN;BAGO BANTAY;RR;1,200.00;;
CAMARINES;BAGO BANTAY;RR;1,200.00;;
CONG L AVE;BAGO BANTAY;CR;7,500.00;;
CORREGIDOR;BAGO BANTAY;RR;1,200.00;;
COTABATO;BAGO BANTAY;RR;1,200.00;;
EDSA;BAGO BANTAY;CR;9,000.00;;
FORT SANTIAGO;BAGO BANTAY;RR;1,200.00;;
ILOCOS NORTE;BAGO BANTAY;RR;1,200.00;;
ILOCOS SUR;BAGO BANTAY;RR;1,200.00;;
ISABELA;BAGO BANTAY;RR;1,200.00;;
MISAMIS;BAGO BANTAY;RR;1,200.00;;
NUEVA ECIJA;BAGO BANTAY;RR;1,200.00;;
NUEVA VIZCAYA;BAGO BANTAY;RR;1,200.00;;
ALL OTHER STREETS;BAGO BANTAY;RR;1,200.00;;
TOWNHOUSE;BAGO BANTAY;RC;8,000.00;;
CONDOMINIUM;BAGO BANTAY;RC;10,000.00;;
CONDOMINIUM;BAGO BANTAY;CC;12,000.00;;
BARANGAY:;MAHARLIKA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
APO;SAN JOSE;RR;2,000.00;;
BANAWE;SAN JOSE;CR;6,000.00;;
BANAWE;SAN JOSE;RR;3,000.00;;
CORDILLERA;SAN JOSE;RR;2,000.00;;
CORDILLERA;SAN JOSE;CR;3,000.00;;
D TUAZON;SAN JOSE;RR;3,000.00;;
D TUAZON;SAN JOSE;CR;4,000.00;;
DEL MONTE;SAN JOSE;RR;3,000.00;;
DEL MONTE;SAN JOSE;CR;5,000.00;;
KANLAON;SAN JOSE;RR;2,000.00;;
MALAYA;SAN JOSE;RR;2,000.00;;
MAYON;SAN JOSE;RR;3,000.00;;
MAYON;SAN JOSE;CR;4,000.00;;
RETIRO AMORANTO;SAN JOSE;RR;3,000.00;;
RETIRO AMORANTO;SAN JOSE;CR;5,000.00;;
SPEAKER PEREZ;SAN JOSE;RR;2,500.00;;
STA CATALINA;SAN JOSE;RR;2,500.00;;
ALL OTHER STREETS;SAN JOSE;RR;2,000.00;;
TOWNHOUSE;SAN JOSE;RC;8,000.00;;
CONDOMINIUM;SAN JOSE;RC;10,000.00;;
CONDOMINIUM;SAN JOSE;CC;12,000.00;;
BARANGAY:;MANRESA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
BANAWE;SAN JOSE;CR;6,000.00;;
BIAK-NA-BATO;SAN JOSE;RR;2,500.00;;
BIAK-NA-BATO;SAN JOSE;CR;4,000.00;;
BIAK-NA-BATO;SAN JOSE;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BINMAKA;SAN JOSE;RR;2,000.00;;
D TUAZON;SAN JOSE;RR;3,000.00;;
D TUAZON;SAN JOSE;CR;7,500.00;;
DEL MONTE;SAN JOSE;RR;3,000.00;;
DEL MONTE;SAN JOSE;CR;7,500.00;;
G ARANETA;SAN JOSE;RR;3,000.00;;
G ARANETA;SAN JOSE;CR;5,000.00;;
IGDALIG;SAN JOSE;RR;2,000.00;;
LATUKAN;SAN JOSE;RR;2,000.00;;
MAKATURING;SAN JOSE;RR;2,000.00;;
MATUTUM;SAN JOSE;RR;2,000.00;;
MAUBAN;SAN JOSE;RR;2,000.00;;
OBUDAN;SAN JOSE;RR;2,000.00;;
PAGATAAN;SAN JOSE;RR;2,000.00;;
PANULTURAN;SAN JOSE;RR;2,000.00;;
SAPOCOY;SAN JOSE;RR;2,000.00;;
SGT D RIVERA;SAN JOSE;RR;2,750.00;;
SGT D RIVERA;SAN JOSE;CR;4,000.00;;
STA ROSA;SAN JOSE;RR;2,000.00;;
STO DOMINGO;SAN JOSE;RR;2,500.00;;
STO DOMINGO;SAN JOSE;CR;5,000.00;;
STO DOMINGO;SAN JOSE;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
TAGDALIT;SAN JOSE;RR;2,000.00;;
ROXAS ST;SAN JOSE;RR;2,000.00;;
ALL OTHER STREETS;SAN JOSE;RR;2,000.00;;
TOWNHOUSE;SAN JOSE;RC;8,000.00;;
CONDOMINIUM;SAN JOSE;RC;10,000.00;;
CONDOMINIUM;SAN JOSE;CC;12,000.00;;
BARANGAY:;MARIBLO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
BERNARDO;DEL MONTE;RR;1,000.00;;
CADIG;DEL MONTE;RR;1,000.00;;
DAGUPAN;DEL MONTE;RR;1,000.00;;
DE VERA;DEL MONTE;RR;1,000.00;;
JOAQUIN;DEL MONTE;RR;1,000.00;;
MAPALAD;DEL MONTE;RR;1,000.00;;
MONTEMAYOR;DEL MONTE;RR;1,000.00;;
MORATO AVE;DEL MONTE;RR;1,000.00;;
P PAREDES;DEL MONTE;RR;1,000.00;;
PONGCO;DEL MONTE;RR;1,000.00;;
RODRIGUEZ ST;DEL MONTE;RR;1,000.00;;
ROOSEVELT AVE;DEL MONTE;RR;5,000.00;;
ROOSEVELT AVE;DEL MONTE;CR;6,000.00;;
SAN PEDRO;DEL MONTE;RR;1,000.00;;
TOLENTINO;DEL MONTE;RR;1,000.00;;
UMALI;DEL MONTE;RR;1,000.00;;
WILSON;DEL MONTE;RR;1,000.00;;
JOHN GORDON;DEL MONTE;RR;1,000.00;;
ALL OTHER STREETS;DEL MONTE;RR;1,000.00;;
TOWNHOUSE;DEL MONTE;RC;8,000.00;;
CONDOMINIUM;DEL MONTE;RC;10,000.00;;
CONDOMINIUM;DEL MONTE;CC;12,000.00;;
BARANGAY:;MASAMBONG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
AMOLAT;SAN JOSE;RR;1,000.00;;
AMUSLAN;SAN JOSE;RR;1,000.00;;
BAHAWAN;SAN JOSE;RR;1,000.00;;
BAKIL;SAN JOSE;RR;1,000.00;;
CAGNA;SAN JOSE;RR;1,000.00;;
CAPANG;SAN JOSE;RR;1,000.00;;
CAPDAS;SAN JOSE;RR;1,000.00;;
CORUMI;SAN JOSE;RR;1,000.00;;
DEL MONTE AVE;SAN JOSE;RR;3,000.00;;
DEL MONTE AVE;SAN JOSE;CR;7,500.00;;
G ARANETA;SAN JOSE;RR;3,000.00;;
G ARANETA;SAN JOSE;CR;5,000.00;;
GABO;SAN JOSE;RR;1,000.00;;
GASAN;SAN JOSE;RR;1,000.00;;
ILIHAN;SAN JOSE;RR;1,000.00;;
INAMIN;SAN JOSE;RR;1,000.00;;
MABITUAN;SAN JOSE;RR;1,000.00;;
MALAC;SAN JOSE;RR;1,000.00;;
MALASIMBO;SAN JOSE;RR;1,000.00;;
MASOLA;SAN JOSE;RR;1,000.00;;
MUNONG;SAN JOSE;RR;1,000.00;;
PAYTE;SAN JOSE;RR;1,000.00;;
POSCOY;SAN JOSE;RR;1,000.00;;
TINADUAN;SAN JOSE;RR;1,000.00;;
TOCTOCAN;SAN JOSE;RR;1,000.00;;
WAYAN;SAN JOSE;RR;1,000.00;;
TINAGAUN;SAN JOSE;RR;1,000.00;;
TRIO;SAN JOSE;RR;1,000.00;;
ALL OTHER STREETS;SAN JOSE;RR;1,000.00;;
TOWNHOUSE;SAN JOSE;RC;10,000.00;;
CONDOMINIUM;SAN JOSE;RC;10,000.00;;
BARANGAY:;MATALAHIB;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
AIS AVE;STA MESA HEIGHTS;RR;2,000.00;;
ATOK;STA MESA HEIGHTS;RR;2,000.00;;
BANAWE;STA MESA HEIGHTS;CR;7,500.00;;
BANAWE;STA MESA HEIGHTS;RR;3,000.00;;
BIAK NA BATO;STA MESA HEIGHTS;CR;4,000.00;;
BIAK NA BATO;STA MESA HEIGHTS;RR;2,500.00;;
BIAK NA BATO;STA MESA HEIGHTS;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
CALAMBA;STA MESA HEIGHTS;RR;2,000.00;;
DAPITAN;STA MESA HEIGHTS;RR;2,500.00;;
DON JOSE;STA MESA HEIGHTS;RR;2,000.00;;
DON M AGREGADO;STA MESA HEIGHTS;RR;2,000.00;;
FLORENTINO;STA MESA HEIGHTS;RR;2,000.00;;
FLORENTINO;STA MESA HEIGHTS;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
G ARANETA;STA MESA HEIGHTS;CR;5,000.00;;
G ARANETA;STA MESA HEIGHTS;RR;3,000.00;;
M CUENCO;STA MESA HEIGHTS;RR;2,000.00;;
M CUENCO;STA MESA HEIGHTS;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
MARIA CLARA;STA MESA HEIGHTS;RR;2,000.00;;
MACOPA;STA MESA HEIGHTS;RR;2,000.00;;
N ROXAS;STA MESA HEIGHTS;RR;2,000.00;;
PIY MARGAL;STA MESA HEIGHTS;RR;2,000.00;;
QUEZON AVENUE;STA MESA HEIGHTS;RR;3,000.00;;
QUEZON AVENUE;STA MESA HEIGHTS;CR;5,000.00;;
RETIRO AMORANTO;STA MESA HEIGHTS;RR;3,000.00;;
RETIRO AMORANTO;STA MESA HEIGHTS;CR;5,000.00;;
SAMAT;STA MESA HEIGHTS;RR;2,000.00;;
SIMOUN;STA MESA HEIGHTS;RR;2,000.00;;
STO DOMINGO;STA MESA HEIGHTS;RR;2,500.00;;
STO DOMINGO;STA MESA HEIGHTS;CR;5,000.00;;
STO DOMINGO;STA MESA HEIGHTS;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
TIRAD PASS;STA MESA HEIGHTS;RR;2,000.00;;
ALL OTHER STREETS;STA MESA HEIGHTS;RR;2,000.00;;
TOWNHOUSE;STA MESA HEIGHTS;RC;8,000.00;;
CONDOMINIUM;STA MESA HEIGHTS;RC;10,000.00;;
CONDOMINIUM;STA MESA HEIGHTS;CC;12,000.00;;
BARANGAY:;NAGKAISANG NAYON;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
AMPARO SUBD.;NOVALICHES;RR;800.00;;
CAPRI HTS;NOVALICHES;RR;800.00;;
DE JESUS SUBD;NOVALICHES;RR;800.00;;
GEN LUIS;NOVALICHES;RR;1,200.00;;
GEN LUIS;NOVALICHES;I;2,000.00;;
GEN LUIS;NOVALICHES;CR;4,500.00;;
JONAVILLE;NOVALICHES;RR;800.00;;
JOSEFINA;NOVALICHES;RR;800.00;;
PLDT;NOVALICHES;RR;800.00;;
QUEENSLAND;NOVALICHES;RR;800.00;;
ST VINCENT;NOVALICHES;RR;800.00;;
TS CRUZ SUBD;NOVALICHES;RR;1,250.00;;
URBIEN SUBD;NOVALICHES;RR;800.00;;
VISAYAS AVE;NOVALICHES;CR;1,400.00;;
VISAYAS AVE;NOVALICHES;RR;1,100.00;;
ALL OTHER STREETS;NOVALICHES;RR;800.00;;
TOWNHOUSE;NOVALICHES;RC;8,000.00;;
CONDOMINIUM;NOVALICHES;RC;10,000.00;;
CONDOMINIUM;NOVALICHES;CC;12,000.00;;
BARANGAY:;NAYONG KANLURAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
DEL MONTE AVE;GEN ROXAS;CR;8,000.00;;
MASBATE;GEN ROXAS;CR;2,100.00;;
MASBATE;GEN ROXAS;RR;1,650.00;;
MASBATE;GEN ROXAS;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
SORSOGON;GEN ROXAS;CR;2,100.00;;
SORSOGON;GEN ROXAS;RR;1,650.00;;
SULO;GEN ROXAS;CR;2,100.00;;
SULO;GEN ROXAS;RR;1,650.00;;
SURIGAO;GEN ROXAS;CR;2,100.00;;
SURIGAO;GEN ROXAS;RR;1,650.00;;
WEST AVENUE;GEN ROXAS;CR;10,000.00;;
WEST AVENUE;GEN ROXAS;RR;5,000.00;;
ZAMBOANGA;GEN ROXAS;CR;2,100.00;;
ZAMBOANGA;GEN ROXAS;RR;1,650.00;;
ALL OTHER STREETS;GEN ROXAS;RR;1,650.00;;
TOWNHOUSE;GEN ROXAS;RC;8,000.00;;
CONDOMINIUM;GEN ROXAS;RC;10,000.00;;
CONDOMINIUM;GEN ROXAS;CC;12,000.00;;
BARANGAY:;MATANDANG BALARA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
LUZON AVE;CAPITOL;RR;900.00;;
PARIAN SUBD;CAPITOL;RR;1,750.00;;
INTRAMUROS;CAPITOL;RR;1,500.00;;
F N RAMOS;CAPITOL;RR;900.00;;
DON M MARCOS AVE;CAPITOL;RR;5,500.00;;
ALL OTHER STREETS;CAPITOL;RR;900.00;;
TOWNHOUSE;CAPITOL;RC;8,000.00;;
CONDOMINIUM;CAPITOL;RC;10,000.00;;
CONDOMINIUM;CAPITOL;CC;12,000.00;;
BARANGAY:;NOVALICHES PROPER;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
AUSTRIA;NOVALICHES;RR;1,600.00;;
BUENAMAR SUBD;NOVALICHES;RR;900.00;;
DONA ISAURA;NOVALICHES;RR;900.00;;
DONA ROSARIO;NOVALICHES;RR;900.00;;
DUMALAY;NOVALICHES;RR;1,600.00;;
GEN LUIS;NOVALICHES;CR;5,500.00;;
GEN LUIS;NOVALICHES;RR;1,700.00;;
LOURDES;NOVALICHES;CR;2,000.00;;
LOURDES;NOVALICHES;RR;1,700.00;;
NICANOR;NOVALICHES;RR;1,800.00;;
QUIRINO HIWAY;NOVALICHES;CR;5,000.00;;
QUIRINO HIWAY;NOVALICHES;RR;1,900.00;;
RAMIREZ CPD;NOVALICHES;RR;1,800.00;;
SARMIENTO;NOVALICHES;RR;1,800.00;;
SAUYO;NOVALICHES;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
SUSANO;NOVALICHES;CR;2,850.00;;
SUSANO;NOVALICHES;RR;1,700.00;;
ALL OTHER STREETS;NOVALICHES;RR;900.00;;
TOWNHOUSE;NOVALICHES;RC;8,000.00;;
CONDOMINIUM;NOVALICHES;RC;10,000.00;;
CONDOMINIUM;NOVALICHES;CC;12,000.00;;
BARANGAY:;PAANG BUNDOK;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
A BONIFACIO;LA LOMA;CR;4,000.00;;
A BONIFACIO;LA LOMA;RR;2,000.00;;
ABAO;LA LOMA;RR;1,800.00;;
AMORANTO RETIRO;LA LOMA;CR;5,000.00;;
AMORANTO RETIRO;LA LOMA;RR;3,000.00;;
ANGELO;LA LOMA;RR;1,800.00;;
BACO;LA LOMA;RR;1,800.00;;
BULUSAN;LA LOMA;RR;1,800.00;;
CALAVITE;LA LOMA;RR;1,800.00;;
DR ALEJOS;LA LOMA;RR;1,800.00;;
GEN TINIO;LA LOMA;RR;1,800.00;;
HALCON;LA LOMA;RR;1,800.00;;
IBA;LA LOMA;RR;1,800.00;;
IRIGA;LA LOMA;RR;1,800.00;;
ISAROG;LA LOMA;RR;1,800.00;;
LABO;LA LOMA;RR;1,800.00;;
MARIVELES;LA LOMA;RR;1,800.00;;
TACIO;LA LOMA;RR;1,800.00;;
ALL OTHER STREETS;LA LOMA;RR;1,800.00;;
TOWNHOUSE;LA LOMA;RC;8,000.00;;
CONDOMINIUM;LA LOMA;RC;10,000.00;;
CONDOMINIUM;LA LOMA;CC;12,000.00;;
BARANGAY:;PAGASA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
MINDANAO AVE;B BANTAY;RR;2,500.00;;
MINDANAO AVE;B BANTAY;CR;2,700.00;;
ROAD LOT 1;B BANTAY;RR;1,100.00;;
ROAD LOT 10;B BANTAY;RR;1,100.00;;
ROAD LOT 11;B BANTAY;RR;1,100.00;;
ROAD LOT 12;B BANTAY;RR;1,100.00;;
ROAD LOT 13;B BANTAY;RR;1,100.00;;
ROAD LOT 14;B BANTAY;RR;1,100.00;;
ROAD LOT 16;B BANTAY;RR;1,100.00;;
ROAD LOT 19;B BANTAY;RR;1,100.00;;
ROAD LOT 2;B BANTAY;RR;1,100.00;;
ROAD LOT 22;B BANTAY;RR;1,100.00;;
ROAD LOT 3;B BANTAY;RR;1,100.00;;
ROAD LOT 4;B BANTAY;RR;1,100.00;;
ROAD LOT 5;B BANTAY;RR;1,100.00;;
ROAD LOT 6;B BANTAY;RR;1,100.00;;
ROAD LOT 7;B BANTAY;RR;1,100.00;;
ROAD LOT 8;B BANTAY;RR;1,100.00;;
ROAD LOT 9;B BANTAY;RR;1,100.00;;
ALL OTHER STREETS;B BANTAY;RR;1,100.00;;
TOWNHOUSE;B BANTAY;RC;8,000.00;;
CONDOMINIUM;B BANTAY;RC;10,000.00;;
CONDOMINIUM;B BANTAY;CC;12,000.00;;
BARANGAY:;PAG-IBIG SA NAYON;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
A BONIFACIO;BALINTAWAK;CR;5,000.00;;
DARAGA;BALINTAWAK;RR;1,700.00;;
DASMARINAS;BALINTAWAK;RR;1,700.00;;
DAYNE;BALINTAWAK;RR;1,700.00;;
DINALUPIHAN;BALINTAWAK;RR;1,700.00;;
FERNANDEZ;BALINTAWAK;RR;1,700.00;;
PAGIBIG SA NAYON;BALINTAWAK;RR;1,700.00;;
PINEDA;BALINTAWAK;RR;1,700.00;;
SELECTA DR;BALINTAWAK;RR;1,700.00;;
SGT RIVERA;BALINTAWAK;RR;1,700.00;;
SGT RIVERA;BALINTAWAK;CR;3,000.00;;
MARVEX DRIVE;BALINTAWAK;RR;1,700.00;;
ALL OTHER STREETS;BALINTAWAK;RR;1,700.00;;
TOWNHOUSE;BALINTAWAK;RC;8,000.00;;
CONDOMINIUM;BALINTAWAK;RC;10,000.00;;
CONDOMINIUM;BALINTAWAK;CC;12,000.00;;
BARANGAY:;PALTOK;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
ANAK BAYAN;DEL MONTE;RR;1,200.00;;
ARAGON;DEL MONTE;RR;1,200.00;;
ARAW;DEL MONTE;RR;1,200.00;;
BALER;DEL MONTE;RR;1,200.00;;
BALER;DEL MONTE;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BASA;DEL MONTE;RR;1,200.00;;
BENITEZ;DEL MONTE;RR;1,200.00;;
CABUTAJE;DEL MONTE;RR;1,200.00;;
CAPIZ;DEL MONTE;RR;1,200.00;;
CATANDUANES;DEL MONTE;RR;1,200.00;;
CAVITE;DEL MONTE;RR;1,200.00;;
COOPER;DEL MONTE;RR;1,200.00;;
DE VERA;DEL MONTE;RR;1,200.00;;
DEL MONTE AVE;DEL MONTE;CR;4,000.00;;
DEL MONTE AVE;DEL MONTE;RR;3,000.00;;
DIWANI;DEL MONTE;RR;1,200.00;;
E RIVERSIDE;DEL MONTE;RR;1,200.00;;
G DEL PILAR;DEL MONTE;RR;1,200.00;;
GOMEZ;DEL MONTE;RR;1,200.00;;
GUEVARRA;DEL MONTE;RR;1,200.00;;
HERMOSA;DEL MONTE;RR;1,200.00;;
ILAW;DEL MONTE;RR;1,200.00;;
KALAWAG;DEL MONTE;RR;1,200.00;;
KUNDIMAN;DEL MONTE;RR;1,200.00;;
KUNDIMAN;DEL MONTE;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
LA UNION;DEL MONTE;RR;1,200.00;;
MATIAS;DEL MONTE;RR;1,200.00;;
MENDOZA;DEL MONTE;RR;1,200.00;;
NATIVIDAD;DEL MONTE;RR;1,200.00;;
PARAISO;DEL MONTE;RR;1,200.00;;
PITIMINI;DEL MONTE;RR;1,200.00;;
ROAD LOT 14;DEL MONTE;RR;1,200.00;;
TENNESSEE;DEL MONTE;RR;1,200.00;;
V YLAGAN;DEL MONTE;RR;1,200.00;;
WEST AVE;DEL MONTE;CR;6,000.00;;
WEST AVE;DEL MONTE;RR;4,000.00;;
ZAMORA;DEL MONTE;RR;1,200.00;;
ZORRA;DEL MONTE;RR;1,200.00;;
J JUAN LUNA;DEL MONTE;RR;1,500.00;;
ALL OTHER STREETS;DEL MONTE;RR;1,200.00;;
TOWNHOUSE;DEL MONTE;RC;8,000.00;;
CONDOMINIUM;DEL MONTE;RC;10,000.00;;
CONDOMINIUM;DEL MONTE;CC;12,000.00;;
BARANGAY:;PARAISO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
ALBAY;DEL MONTE;RR;1,000.00;;
ALHAMBRA;DEL MONTE;RR;1,000.00;;
BASA;DEL MONTE;RR;1,000.00;;
BASANILLO;DEL MONTE;RR;1,000.00;;
BAUTISTA;DEL MONTE;RR;1,000.00;;
BODINO;DEL MONTE;RR;1,000.00;;
DAGUPAN;DEL MONTE;RR;1,000.00;;
DE VERA;DEL MONTE;RR;1,000.00;;
DEL MONTE AVE;DEL MONTE;CR;4,000.00;;
DEL MONTE AVE;DEL MONTE;RR;3,000.00;;
FELIPE II;DEL MONTE;RR;1,000.00;;
FRANCISCO;DEL MONTE;RR;1,000.00;;
GENETE;DEL MONTE;RR;1,000.00;;
JORDAN;DEL MONTE;RR;1,000.00;;
MAPALAD;DEL MONTE;RR;1,000.00;;
MORATO;DEL MONTE;RR;1,000.00;;
PADILLA;DEL MONTE;RR;1,000.00;;
RIVERA;DEL MONTE;RR;1,000.00;;
RODRIGUEZ;DEL MONTE;RR;1,000.00;;
ROOSEVELT AVE;DEL MONTE;CR;6,000.00;;
ROOSEVELT AVE;DEL MONTE;RR;5,000.00;;
SAN JOAQUIN;DEL MONTE;RR;1,000.00;;
SAN VICENTE;DEL MONTE;RR;1,000.00;;
TOLENTINO;DEL MONTE;RR;1,000.00;;
ZAMORA;DEL MONTE;RR;1,000.00;;
COOPER;DEL MONTE;RR;1,000.00;;
BENITEZ;DEL MONTE;RR;1,000.00;;
PARAISO;DEL MONTE;RR;1,000.00;;
EAST RIVERSIDE;DEL MONTE;RR;1,000.00;;
ALL OTHER STREETS;DEL MONTE;RR;1,000.00;;
TOWNHOUSE;DEL MONTE;RC;8,000.00;;
CONDOMINIUM;DEL MONTE;RC;10,000.00;;
CONDOMINIUM;DEL MONTE;CC;12,000.00;;
BARANGAY:;PASONG PUTIK;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
LAGRO SUBD;NOVALICHES;RR;1,200.00;;
NOR FAIRVIEW 2;NOVALICHES;RR;2,100.00;;
NOR FAIRVIEW 3;NOVALICHES;RR;1,600.00;;
SACERO ROAD;NOVALICHES;RR;900.00;;
TERESA HTS;NOVALICHES;RR;1,350.00;;
MALIGAYA SUBD;NOVALICHES;RR;900.00;;
SACRED HEART;NOVALICHES;RR;900.00;;
FIL ESTATE SUBD;NOVALICHES;RR;2,000.00;;
ALL OTHER STREETS;NOVALICHES;RR;900.00;;
TOWNHOUSE;NOVALICHES;RC;8,000.00;;
CONDOMINIUM;NOVALICHES;RC;10,000.00;;
CONDOMINIUM;NOVALICHES;CC;12,000.00;;
BARANGAY:;PASONG TAMO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
BONIFACIO VILL;T SORA;RR;1,750.00;;
CENTERVILLE SUBD;T SORA;RR;1,750.00;;
COMPASS SUBD.;T SORA;RR;900.00;;
CONG'L AVE.;T SORA;RR;1,200.00;;
CONG'L AVE.;T SORA;CR;1,500.00;;
DNA PETRONA SUB;T SORA;RR;1,750.00;;
GEM II;T SORA;RR;1,500.00;;
JEM 3 SUBD;T SORA;RR;1,000.00;;
LUCKY VILLE;T SORA;RR;1,500.00;;
LUZON AVE.;T SORA;RR;900.00;;
LUZON AVE.;T SORA;CR;1,250.00;;
MARIES SUBD;T SORA;RR;1,750.00;;
MIRA NILA HOMES;T SORA;RR;1,750.00;;
PHILAND SUBD;T SORA;RR;1,750.00;;
PRIME REALTY;T SORA;RR;1,750.00;;
RAMAX REALTY;T SORA;RR;1,750.00;;
SAN MIGUEL SUBD;T SORA;RR;1,600.00;;
SANVILLE SUBD;T SORA;RR;1,750.00;;
STERLING MEADOW;T SORA;RR;1,350.00;;
T SORA PARK SUBD;T SORA;RR;1,500.00;;
TIERRA VERDE;T SORA;RR;1,500.00;;
UP SUBD;T SORA;RR;900.00;;
VISAYAS AVE;T SORA;CR;1,500.00;;
VISAYAS AVE;T SORA;RR;1,200.00;;
ALL OTHER STREETS;T SORA;RR;900.00;;
TOWNHOUSE;T SORA;RC;8,000.00;;
CONDOMINIUM;T SORA;RC;10,000.00;;
BARANGAY:;PHILAM;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV. ZV/SQ.M.;;
BACOLOD;QUADRANGLE;RR;2,500.00;;
BAGUIO;QUADRANGLE;RR;2,500.00;;
BASILAN;QUADRANGLE;RR;2,500.00;;
CABANATUAN;QUADRANGLE;RR;2,500.00;;
DANSALAN;QUADRANGLE;RR;2,500.00;;
DUMAGUETE;QUADRANGLE;RR;2,500.00;;
EAST LAWIN;QUADRANGLE;RR;2,500.00;;
EAST MAYA;QUADRANGLE;RR;2,500.00;;
EDSA;QUADRANGLE;RR;9,000.00;;
EDSA;QUADRANGLE;CR;6,000.00;;
LEGASPI;QUADRANGLE;RR;2,500.00;;
LIPA;QUADRANGLE;RR;2,500.00;;
NORTH LAWIN;QUADRANGLE;RR;2,500.00;;
ORMOC;QUADRANGLE;RR;2,500.00;;
SAN PABLO ROAD;QUADRANGLE;RR;2,500.00;;
SOUTH LAWIN;QUADRANGLE;RR;2,500.00;;
SOUTH MAYA ROAD;QUADRANGLE;RR;2,500.00;;
VIGAN;QUADRANGLE;RR;2,500.00;;
WEST AVE;QUADRANGLE;RR;5,000.00;;
WEST AVE;QUADRANGLE;CR;9,000.00;;
WEST LAWIN;QUADRANGLE;RR;2,500.00;;
WEST MAYA;QUADRANGLE;RR;2,500.00;;
ALL OTHER STREETS;QUADRANGLE;RR;2,500.00;;
TOWNHOUSE;QUADRANGLE;RC;8,000.00;;
CONDOMINIUM;QUADRANGLE;RC;10,000.00;;
