RDO:;RDO NO. 34 - PACO - PANDACAN - STA. ANA;;;(FORMERLY RDO NO.  25  -  SOUTH MANILA);
TANGUE;EST DE PACO-UN AVENUE;CR;4,200.00;;
U N AVENUE;TANGUE-CRISTOBAL;CR;15,000.00;;
U N AVENUE;TANGUE-CRISTOBAL;RC;25,000.00;;
U N AVENUE;TANGUE-CRISTOBAL;X;7,000.00;;
BARANGAY:;BARANGAY  666 ZONE  72;;;;
A MABINI;T M KALAW - U N AVENUE;CR;25,000.00;;
A MABINI;T M KALAW - U N AVENUE;RC;20,000.00;;
ALHAMBRA;T M KALAW - U N AVENUE;CR;20,500.00;;
CHURRUGA;T M KALAW - U N AVENUE;CR;18,700.00;;
CORTADA;T M KALAW - U N AVENUE;CR;20,500.00;;
CORTADA;T M KALAW - U N AVENUE;RC;19,300.00;;
GUERRERO;T M KALAW - U N AVENUE;CR;20,500.00;;
J C BOCOBO;T M KALAW - U N AVENUE;CR;20,000.00;;
M H DEL PILAR;T M KALAW - U N AVENUE;CR;25,000.00;;
M Y OROSA (FLORIDA);T M KALAW - U N AVENUE;CR;25,000.00;;
ROXAS BLVD;T M KALAW - U N AVENUE;CR;35,000.00;;
ROXAS BLVD;T M KALAW - U N AVENUE;RC;25,000.00;;
TAFT AVENUE;T M KALAW - U N AVENUE;CR;25,000.00;;
T M KALAW;ROXAS BLVD - TAFT AVENUE;CR;25,000.00;;
U N AVENUE;ROXAS BLVD - TAFT AVENUE;CR;25,000.00;;
U N AVENUE;ROXAS BLVD - TAFT AVENUE;RC;25,000.00;;
BARANGAY:;BARANGAY  667 ZONE  72;;;;
A FLORES;DEL PILAR - J C BOCOBO;CR;20,500.00;;
A MABINI;UN AVENUE - P FAURA;CR;25,000.00;;
A MABINI;UN AVENUE - P FAURA;RC;25,000.00;;
ALHAMBRA;UN AVENUE - PLAZA DE GUIA;CR;20,500.00;;
ARQUIZA;ROXAS BLVD - J C BOCOBO;CR;15,000.00;;
GREY;A FLORES - ARQUIZA;CR;15,000.00;;
J C BOCOBO;UN AVENUE - P FAURA;CR;20,000.00;;
M H DEL PILAR;UN AVENUE - P FAURA;CR;25,000.00;;
PADRE FAURA;ROXAS BLVD - J C BOCOBO;CR;20,000.00;;
ROXAS BLVD;UN AVENUE - P FAURA;RC;25,000.00;;
ROXAS BLVD;UN AVENUE - P FAURA;CR;35,000.00;;
U N AVENUE;ROXAS BLVD - J C BOCOBO;CR;25,000.00;;
U N AVENUE;ROXAS BLVD - J C BOCOBO;RC;25,000.00;;
BARANGAY:;BARANGAY  668 ZONE  72;;;;
A MABINI;P FAURA - P GIL;CR;25,000.00;;
A MABINI;P FAURA - P GIL;RC;25,000.00;;
CUARTELES;P FAURA - M H DEL PILAR;CR;12,000.00;;
M ADRIATICO;P FAURA - P GIL;CR;20,000.00;;
M ADRIATICO;P FAURA - P GIL;RC;20,000.00;;
M H DEL PILAR;P FAURA - P GIL;CR;25,000.00;;
PADRE FAURA;ROXAS BLVD - M ADRIATICO;CR;20,000.00;;
P GIL (HERRAN);ROXAS BLVD - M ADRIATICO;CR;20,000.00;;
ROMERO SALAS;M ADRIATICO - ROXAS BLVD;CR;12,000.00;;
ROXAS BLVD;P FAURA - P GIL;CR;35,000.00;;
ROXAS BLVD;P FAURA - P GIL;RC;25,000.00;;
SALCEPUEDES;P FAURA - STA MONICA;CR;12,000.00;;
SOLDADO;M H DEL PILAR - A MABINI;CR;12,000.00;;
STA. MONICA;M ADRIATICO - ROXAS BLVD;CR;12,000.00;;
BARANGAY:;BARANGAY  669 ZONE  72;;;;
ARKANSAS;JC BOCOBO - M OROSA;CR;13,500.00;;
JC BOCOBO;UN AVENUE - P FAURA;CR;20,000.00;;
MY OROSA;UN AVENUE - P FAURA;CR;25,000.00;;
P FAURA;JC BOCOBO - TAFT AVENUE;CR;20,000.00;;
TAFT AVENUE;UN AVENUE - P FAURA;CR;25,000.00;;
UN AVENUE;JC BOCOBO - TAFT AVENUE;CR;25,000.00;;
UN AVENUE;JC BOCOBO - TAFT AVENUE;RC;25,000.00;;
BARANGAY:;BARANGAY  670 ZONE  72;;;;
MY OROSA;P FAURA - P GIL;CR;25,000.00;;
P FAURA;MY OROSA - TAFT AVENUE;CR;20,000.00;;
P GIL;M ADRIATICO - TAFT AVENUE;CR;20,000.00;;
TAFT AVENUE;P FAURA - P GIL;CR;25,000.00;;
BARANGAY:;BARANGAY  671 ZONE  73;;;;
A LINAO (DART);SYSON-SAN GREGORIO;CR;8,200.00;;
CAIXTO DYCO;A LINAO-EST DE PACO;CR;5,900.00;;
SAN GREGORIO;A LINAO-EST DE PACO;CR;7,000.00;;
SYSON;A LINAO-EST DE PACO;CR;5,900.00;;
ALL OTHER STREETS;;CR;5,900.00;;
BARANGAY:;BARANGAY  672 ZONE  73;;;;
A LINAO (DART);SYSON-BELEN;CR;8,200.00;;
ROQUE;SYSON-EST DE PACO;CR;5,900.00;;
SYSON;A DE SAN VICENTE;CR;5,900.00;;
U N. AVENUE;A DE SAN VICENTE;CR;25,000.00;;
U N. AVENUE;PAUL-EST DE PACO;RC;25,000.00;;
ALL OTHER STREETS;;CR;5,900.00;;
ALL OTHER STREETS;;RC;25,000.00;;
BARANGAY:;BARANGAY  673 ZONE  73;;;;
A LINAO (DART);ESCODA-P GIL;CR;8,200.00;;
G APACIBLE;GEN LUNA-EST DE PACO;CR;8,200.00;;
GEN LUNA;G APACIBLE-P GIL;CR;8,800.00;;
J E ESCODA;GEN LUNA-A LINAO;CR;8,200.00;;
MINDORO;A LINAO-END;RR;2,700.00;;
P GIL;GEN LUNA-EST DE PACO;CR;20,000.00;;
SAN GREGORIO;A LINAO-EST DE PACO;RR;4,050.00;;
ALL OTHER STREETS;;RR;2,700.00;;
ALL OTHER STREETS;;CR;8,200.00;;
BARANGAY:;BARANGAY  674 ZONE  73;;;;
A LINAO (DART);BELEN-G APACIBLE;CR;8,200.00;;
BELEN;PEREZ-A LINAO;RR;3,400.00;;
D ROMUALDEZ SR.;UN AVENUE-G APACIBLE;CR;10,000.00;;
D ROMUALDEZ SR.;UN AVENUE-G APACIBLE;RC;15,000.00;;
E FERNANDEZ  (SAN MARCELINO);UN AVENUE-G APACIBLE;RR;6,000.00;;
E FERNANDEZ  (SAN MARCELINO);UN AVENUE-G APACIBLE;CR;12,000.00;;
G APACIBLE;GEN LUNA-A LINAO;CR;8,200.00;;
GEN LUNA;UN AVENUE-APACIBLE;CR;8,800.00;;
GONZALES;GEN LUNA-E FERNANDEZ;RR;4,050.00;;
LOOBAN;UN AVENUE-APACIBLE;CR;7,000.00;;
PEREZ;UN AVENUE-APACIBLE;CR;8,200.00;;
U N AVENUE;TAFT AVENUE-ASILO VICENTE;CR;25,000.00;;
U N AVENUE;TAFT AVENUE-ASILO VICENTE;RC;25,000.00;;
BARANGAY:;BARANGAY  675 ZONE  73;;;;
E FERNANDEZ  (SAN MARCELINO);J L ESCODA - P GIL;RR;6,000.00;;
E FERNANDEZ  (SAN MARCELINO);J L ESCODA - P GIL;CR;12,000.00;;
F AGONCILLO;J L ESCODA - P GIL;CR;8,200.00;;
GEN LUNA;J L ESCODA - P GIL;CR;8,800.00;;
J L ESCODA;TAFT AVENUE - GEN LUNA;CR;7,600.00;;
KANSAS;J L ESCODA - P GIL;RR;4,400.00;;
LEON GUINTO SR;J L ESCODA - P GIL;CR;8,800.00;;
PASAJE ROSARIO;J L ESCODA - P GIL;CR;7,000.00;;
PEDRO GIL;TAFT AVENUE - GEN LUNA;CR;20,000.00;;
TAFT AVENUE;J L ESCODA - P GIL;CR;25,000.00;;
ALL OTHER STREETS;;CR;7,600.00;;
ALL OTHER STREETS;;RR;4,400.00;;
BARANGAY:;BARANGAY  676 ZONE  73;;;;
AGONCILLO (COLORADA);P FAURA - J L ESCODA;CR;7,000.00;;
E FERNANDEZ  (SAN MARCELINO);P FAURA - J L ESCODA;RR;6,000.00;;
E FERNANDEZ  (SAN MARCELINO);P FAURA - J L ESCODA;CR;12,000.00;;
G APACIBLE;TAFT AVE - E FERNANDEZ;CR;8,200.00;;
GEN LUNA;UN AVENUE - J L ESCODA;CR;8,800.00;;
J L ESCODA;TAFT AVENUE - GEN LUNA;CR;8,200.00;;
LEON GUINTO SR;P. FAURA - J L ESCODA;CR;8,800.00;;
PADRE FAURA;TAFT AVENUE - GEN LUNA;CR;20,000.00;;
PADRE FAURA;TAFT AVENUE - GEN LUNA;RR;10,000.00;;
TAFT AVENUE;UN AVENUE - J L ESCODA;CR;25,000.00;;
BARANGAY:;BARANGAY  677 ZONE  74;;;;
BATUTE;EST. DE PACO-CRISTOBAL;RR;2,700.00;;
CRISTOBAL;ROTONDA-ZULUETA;CR;5,900.00;;
CUEVAS;ULILANG KAWAYAN-PAZ;RR;2,700.00;;
LACTAO;EST. DE PACO-CRISTOBAL;RR;2,700.00;;
PAZ;SAN GREGORIO-QUIRINO AVE;RR;3,400.00;;
PAZ;SAN GREGORIO-QUIRINO AVE;CR;7,000.00;;
PRES. QUIRINO AVENUE;ROTONDA-PAZ;CR;12,000.00;;
SAN GREGORIO;EST. DE PACO-PAZ;RR;4,050.00;;
ULILANG KAWAYAN;EST. DE PACO-END;CR;4,700.00;;
UN AVENUE;EST. DE PACO-ROTONDA;CR;25,000.00;;
UN AVENUE;EST. DE PACO-ROTONDA;I;18,000.00;;
UN AVENUE;EST. DE PACO-ROTONDA;RC;25,000.00;;
ZULUETA;CRISTOBAL-PAZ;RR;2,700.00;;
BARANGAY:;BARANGAY  678 ZONE  74;;;;
MERCED;SAN GREGORIO-ZULUETA;RR;3,400.00;;
PAZ;PRES. QUIRINO AVENUE;RR;3,400.00;;
PAZ;PRES. QUIRINO AVENUE;CR;7,000.00;;
PENAFRANCIA;PRES. QUIRINO AVENUE;RR;3,400.00;;
QUIRINO AVE (CANONICO);ROTONDA-PENAFRANCIA;CR;12,000.00;;
SAN GREGORIO;PAZ-PRES. QUIRINO AVENUE;RR;4,000.00;;
ULILANG KAWAYAN;PAZ-END;CR;4,700.00;;
ZULUETA;PAZ-PRES. QUIRINO AVENUE;RR;2,700.00;;
BARANGAY:;BARANGAY  679 ZONE  74;;;;
LEROY;SAN GREGORIO-13 DE AGOSTO;RR;2,700.00;;
P.GIL;EST DE PACO-PAZ;CR;20,000.00;;
PAZ;SAN GREGORIO-P. GIL;RR;3,400.00;;
PAZ;SAN GREGORIO-P. GIL;CR;7,000.00;;
PAZ;SAN GREGORIO-P. GIL;X;2,800.00;;
SALVADOR;EST DE PACO-LEROY;RR;2,700.00;;
SAN GREGORIO;EST DE PACO-PAZ;RR;4,050.00;;
13 DE AGOSTO;EST DE PACO-PAZ;RR;2,700.00;;
ALL OTHER STREETS;;RR;2,700.00;;
ALL OTHER STREETS;;CR;7,000.00;;
ALL OTHER STREETS;;;2,000.00;;
BARANGAY:;BARANGAY  680 ZONE  74;;;;
MERCED;SAN GREGORIO-PERDIGON;RR;3,400.00;;
PAZ;SAN GREGORIO-PERDIGON;RR;3,400.00;;
PAZ;SAN GREGORIO-PERDIGON;CR;7,000.00;;
PENAFRANCIA;SAN GREGORIO-PERDIGON;RR;3,500.00;;
