RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;(Formerly RDO No. 22 - Tondo / San Nicolas);
MORIONES;WAGAS-KASIPAGAN;CR;2,500.00;;
MORIONES;WAGAS-KASIPAGAN;RR;1,000.00;;
ORTEGA;KASIPAGAN-WAGAS;RR;1,000.00;;
TUAZON;KASIPAGAN-WAGAS;RR;1,000.00;;
WAGAS;ORTEGA-MORIONES;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  43 ZONE  3;;;;
ILOCOS;TUAZON-MORIONES;RR;1,000.00;;
KAGITINGAN;TUAZON-MORIONES;RR;1,000.00;;
MORIONES;KAGITINGAN-N ECIJA;CR;2,500.00;;
MORIONES;KAGITINGAN-N ECIJA;RR;1,200.00;;
SALVACION;TUAZON-MORIONES;RR;1,000.00;;
TUAZON;N ECIJA R-KAGITINGAN;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  44 ZONE  3;;;;
AKLAN;TUAZON-MORIONES;RR;1,000.00;;
ARAYAT;TUAZON-MORIONES;RR;1,000.00;;
LEYTE;TUAZON-MORIONES;RR;1,000.00;;
MARCOS ROAD;TUAZON-MORIONES;CR;4,000.00;;
MORIONES;N ECIJA RD-MARCOS RD;CR;2,500.00;;
MORIONES;N ECIJA RD-MARCOS RD;RR;1,200.00;;
NUEVA ECIJA ROAD;TUAZON-MORIONES;RR;1,000.00;;
TUAZON;MARCOS RD-N ECIJA RD;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  45 ZONE  3;;;;
BARCELONA EXT;ORTEGA-MORGA;RR;1,200.00;;
CAMBA EXT;ORTEGA-MORGA;RR;1,000.00;;
DAMA DE NOCHE;ORTEGA-MORGA;RR;1,000.00;;
J NOLASCO;ORTEGA-MORGA;RR;1,000.00;;
MADRID EXT;ORTEGA-MORGA;RR;1,000.00;;
MADRID EXT;WAGAS-BARCELONA;RR;1,000.00;;
ORTEGA;BARCELONA-J NOLASCO;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
