RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;(Formerly RDO No. 22 - Tondo / San Nicolas);
LAKANDULA;MARCOS RD TAGUMPAY;RR;1,350.00;;
MARCOS RD;SANDICO LAKANDULA;CR;5,200.00;;
SANDICO;TAGUMPAY MARCOS RD;RR;1,200.00;;
SANDICO;LAKANDULA SANDICO;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY  39 ZONE  3;;;;
MARCOS RD;SANDICO TUAZON;CR;5,200.00;;
NUEVA ECIJA RD;SANDICO TUAZON;RR;1,200.00;;
SANDICO;MARCOS RD N ECIJA RD;RR;1,200.00;;
TUAZON;N ECIJA RD MARCOS RD;RR;1,200.00;;
BARANGAY:;BARANGAY  41 ZONE  3;;;;
DALISAY;KAGITINGAN KASIPAGAN;RR;1,200.00;;
KASIPAGAN;DALISAY MORIONES;RR;1,200.00;;
LUALHATI;MORIONES DALISAY;RR;1,200.00;;
MITHI;MORIONES DALISAY;RR;1,200.00;;
MORGA EXTENSION;MORIONES DALISAY;RR;1,200.00;;
MORIONES;KASIPAGAN KAGITINGAN;CR;3,250.00;;
MORIONES;KASIPAGAN KAGITINGAN;RR;1,450.00;;
TUAZON;MORIONES DALISAY;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY  42 ZONE  3;;;;
KASIPAGAN;MORIONES ORTEGA;RR;1,200.00;;
MASINOP;MORIONES ORTEGA;RR;1,200.00;;
MORGA EXTENSION;KASIPAGAN WAGAS;RR;1,200.00;;
MORIONES;WAGAS KASIPAGAN;RR;1,200.00;;
ORTEGA;KASIPAGAN WAGAS;RR;1,200.00;;
TUAZON;KASIPAGAN WAGAS;RR;1,200.00;;
WAGAS;ORTEGA MORIONES;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY  43 ZONE  3;;;;
ILOCOS;TUAZON MORIONES;RR;1,200.00;;
KAGITINGAN;TUAZON MORIONES;RR;1,200.00;;
MORIONES;KAGITINGAN N ECIJA;CR;3,250.00;;
MORIONES;KAGITINGAN N ECIJA;RR;1,450.00;;
SALVACION;TUAZON MORIONES;RR;1,200.00;;
TUAZON;N ECIJA R KAGITINGAN;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY  44 ZONE  3;;;;
AKLAN;TUAZON MORIONES;RR;1,200.00;;
ARAYAT;TUAZON MORIONES;RR;1,200.00;;
LEYTE;TUAZON MORIONES;RR;1,200.00;;
MARCOS RD;TUAZON MORIONES;CR;5,200.00;;
MORIONES;N ECIJA RD MARCOS RD;CR;3,250.00;;
MORIONES;N ECIJA RD MARCOS RD;RR;1,450.00;;
NUEVA ECIJA RD;TUAZON MORIONES;RR;1,200.00;;
TUAZON;MARCOS RD N ECIJA RD;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY  45 ZONE  3;;;;
BARCELONA;ORTEGA MORGA;RR;1,450.00;;
CAMBA EXTENSION;ORTEGA MORGA;RR;1,200.00;;
DAMA DE NOCHE;ORTEGA MORGA;RR;1,200.00;;
J NOLASCO;ORTEGA MORGA;RR;1,200.00;;
MADRID EXTENSION;ORTEGA MORGA;RR;1,200.00;;
MORGA EXTENSION;WAGAS BARCELONA;RR;1,200.00;;
ORTEGA;BARCELONA J NOLASCO;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY  46 ZONE  3;;;;
BARCELONA EXTENSION;MORGA MORIONES;RR;1,450.00;;
J SANTOS;MORGA MORIONES;RR;1,200.00;;
MORGA EXTENSION;WAGAS BARCELONA;RR;1,200.00;;
MORIONES;BARCELONA WAGAS;CR;3,250.00;;
MORIONES;BARCELONA WAGAS;RR;1,450.00;;
SEVILLA EXTENSION;MORGA MORIONES;RR;1,450.00;;
WAGAS;MORGA MORIONES;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY  47 ZONE  3;;;;
BARCELONA EXT;MORGA-MORIONES;RR;1,450.00;;
CAMBA EXT;MORGA-MORIONES;RR;1,200.00;;
DAMA DE NOCHE;MORGA-MORIONES;RR;1,200.00;;
J NOLASCO;MORGA-MORIONES;RR;1,200.00;;
MADRID EXTENSION;MORGA-MORIONES;RR;1,200.00;;
MORGA EXTENSION;BARCELONA-J NOLASCO;RR;1,450.00;;
MORIONES;J NOLASCO-BARCELONA;RR;1,450.00;;
ALL OTHER STREETS;;RR;1,200.00;;
ALL OTHER STREETS;;;;;
BARANGAY:;BARANGAY  48 ZONE  4;;;ZONE 4 IS BOUNDED BY:     NORTH  -  MAYOR ANTONIO VILLEGAS (FR. ESTERO DELA REINA TO DAGUPAN)     SOUTH  -  C M RECTO (FR. DAGUPAN TO ESTERO DELA REINA)     WEST   -  DAGUPAN (FR. MAYOR ANTONIO VILLEGAS TO C M RECTO)     EAST   -  ESTERO DELA REINA (FR. MAYOR ANTONIO VILLEGAS TO C M RECTO);
DAGUPAN;MORIONES;CR;2,600.00;;
DAGUPAN;MORIONES;RR;1,450.00;;
ESTERO DELA REINA;MORIONES;RR;1,500.00;;
MORIONES;DAGUPAN E DELA REINA;CR;5,150.00;;
BARANGAY:;BARANGAY  49 ZONE  4;;;;
ZONE 4;DAGUPAN E DELA REINA;CR;15,600.00;;
