RDO:;RDO NO. 41    - MANDALUYONG CITY;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
ALL OTHER STREETS;;RC;7,500.00;;
ALL OTHER STREETS;;APD;0.00;CALBAYOG      :   N     -  LIBERTAD STREET  E     -   I. ESTEBAN (FORMERLY MAUBAN) R CORDILLERA  STREET FROM CORNER LIBERTAD TO ARAYAT ST.  S      -   ARAYAT STREET  W     -   BULUSAN STREET, ANTIPOLO ST. (CONNECTING BULUSAN AND CALBAYOG STREETS) AND CALBAYOG  STREET EXTENDING TOWARDS LIBERTAD STREE;
ALL OTHER STREETS;;APD;0.00;CORRECTIONAL  -    NUEVE DE FEBRERO - BROOKSIDE :    N    -   SHAW BLVD EXTENDING FROM BROOKSIDE CREEK TO 9 DE FEBRERO                                                          NE   -   9 DE FEBRERO EXTENDING FROM SHAW BLVD   TO CORRECTIONAL ROAD                                                          SE     -   CORRECTIONAL ROAD EXTENDING FROM BROOKSIDE CREEK TO 9 DE PEBRERO                                                          SW     -   BROOKSIDE CREEK EXTENDING FROM SHAW BLVD   TO CORRECTIONAL ROAD;
ALL OTHER STREETS;;APD;0.00;CALBAYOG      :   N     -  AMARILLO STREET    E     -   FERNANDEZ ST., M. CRUZ STREET JOINING    FERNANDEZ & SINAG STREETS, SINAG STREET;
BARANGAY:;NAMAYAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
CASTANEDA;DNA YANGCO E. SCH;RR;2,000.00;;
DREAMLAND SUBD;EEI;RR;2,500.00;;
J RIZAL;PHIL ROCK;RR;2,000.00;;
MAYFLOWER SUBD;EET;RR;2,500.00;;
1ST STREET;;RR;2,000.00;;
2ND STREET;;RR;2,000.00;;
3RD STREET;;RR;2,000.00;;
4TH STREET;;RR;2,000.00;;
5TH STREET;;RR;2,000.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER STREETS;;CR;2,300.00;;
ALL OTHER STREETS;;I;1,950.00;;
BARANGAY:;NEW SANIGA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
ALVAREZ;POBLACION;RR;2,000.00;;
BALLESTEROS;BONI AVE;RR;2,000.00;;
BERNARDO;HAGDAN BATO;RR;2,000.00;;
BONI AVE;;RR;4,300.00;;
BONI AVE;;CR;6,500.00;;
CONTRERAS;BONI AVE;RR;2,000.00;;
CRUZ L;POBLACION;RR;2,000.00;;
CRUZ P;BONI;RR;2,000.00;;
E DE LEON;POBLACION;RR;2,000.00;;
FRANCISCO;BONI;RR;2,300.00;;
LOPEZ I;BONI;RR;2,000.00;;
LOPEZ P;F ORTIGAS;RR;2,000.00;;
LUNA;;RR;2,000.00;;
MARTINEZ;BONI AVE;RR;2,000.00;;
ORTIGAS;BONI AVE;RR;2,800.00;;
PEDRO;BONI AVE;RR;1,700.00;;
POLICARPIO;;RR;1,700.00;;
REYES;;RR;1,700.00;;
SANTOS R O;;RR;1,700.00;;
TAMAYO;;RR;1,700.00;;
