RDO:;RDO 25B - MARILAO, BULACAN;;;;
F. VOLUNDTAD ST.;;RR;1,625.00;;
L. FRANCISCO ST.;;RR;1,625.00;;
MAURICIO ST.;;RR;1,625.00;;
P. MENDOZA ST.;;RR;1,625.00;;
P. REYES ST.;;RR;1,625.00;;
P. SANTIAGO ST.;;RR;1,625.00;;
ROXAS ST.;;RR;1,625.00;;
S. VOLUNDTAD ST.;;RR;1,625.00;;
TURO-IGULOT ROAD;;RR;2,150.00;;
ALL OTHER STREETS;;RR;1,625.00;;
ALL OTHER STREETS;;CR;2,650.00;;
ALL OTHER STREETS;;A1;1,300.00;;
ALL OTHER STREETS;;A2;900.00;;
ALL OTHER STREETS;;GP;550.00;;
ALL OTHER STREETS;INTERIOR;RR;1,600.00;;
ALL OTHER STREETS;INTERIOR;CR;2,600.00;;
ALL OTHER STREETS;INTERIOR;A1;1,200.00;;
ALL OTHER STREETS;INTERIOR;A2;800.00;;
AYUKIT SUBD.;;RR;3,000.00;;
D. REYES SUBD.;;RR;3,000.00;;
GRANVILLE SUBD.;;RR;3,000.00;;
O. ENRIQUEZ SUBD.;;RR;3,000.00;;
RAMIREZ SUBD.;;RR;3,000.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;WAKAS;;;;
MC ARTHUR HIGHWAY;;RR;4,200.00;;
MC ARTHUR HIGHWAY;;CR;4,650.00;;
MC ARTHUR HIGHWAY;;I;4,500.00;;
MC ARTHUR HIGHWAY;;A1;2,500.00;;
MC ARTHUR HIGHWAY;INTERIOR;RR;4,150.00;;
MC ARTHUR HIGHWAY;INTERIOR;CR;4,600.00;;
MC ARTHUR HIGHWAY;INTERIOR;I;4,450.00;;
MC ARTHUR HIGHWAY;INTERIOR;A1;2,500.00;;
ALONG PROVINCIAL ROAD;;RR;4,000.00;;
ALONG PROVINCIAL ROAD;;CR;4,200.00;;
ALONG PROVINCIAL ROAD;;A1;2,000.00;;
ALONG PROVINCIAL ROAD;INTERIOR;RR;3,900.00;;
ALONG PROVINCIAL ROAD;INTERIOR;CR;4,100.00;;
ALONG PROVINCIAL ROAD;INTERIOR;A1;1,800.00;;
INTERCITY INDUSTRIAL ESTATE;;I;4,500.00;;
URESA SUBD.;;RR;3,000.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;ABANGAN NORTE;;;;
MCARTHUR HIGHWAY;;RR;4,175.00;;
MCARTHUR HIGHWAY;;CR;4,425.00;;
MCARTHUR HIGHWAY;INTERIOR;RR;3,270.00;;
MCARTHUR HIGHWAY;INTERIOR;CR;3,625.00;;
MCARTHUR HIGHWAY;INTERIOR;GP;975.00;;
ALL OTHER STREETS;;RR;1,900.00;;
ALL OTHER STREETS;;CR;3,600.00;;
ALL OTHER STREETS;INTERIOR;RR;1,475.00;;
ALL OTHER STREETS;INTERIOR;CR;3,575.00;;
