ALL OTHER STREETS;;I;1,000.00;;
BARANGAY:;SUBANGDAKU;;;;
CEBU NORTH ROAD;SUBANGDAKU CREEK BOUND;CR;1,650.00;;
CEBU NORTH ROAD;SUBANGDAKU CREEK BOUND;RR;1,650.00;;
CEBU NORTH ROAD;SUBANGDAKU CREEK BOUND;I;1,650.00;;
SA VICENTE VILLAGE;SITIO NAWANAO;RR;500.00;;
H CORTES ST;CEBU NR BOUNDARY;CR;1,650.00;;
H CORTES ST;CEBU NR BOUNDARY;RR;1,650.00;;
H CORTES ST;CEBU NR BOUNDARY;I;1,650.00;;
ALL OTHER STREETS;;CR;500.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;500.00;;
BARANGAY:;TABOK;;;;
HERMAG VILLAGE;;RR;650.00;;
CEBU NORTH TABOK RD;;RR;650.00;;
CEBU NORTH TABOK RD;;I;650.00;;
TABOK BARRIO ROAD;;RR;650.00;;
TABOK BARRIO ROAD;;I;650.00;;
CEBU NORTH ROAD;BUTUANON RIVER LABOG;RR;800.00;;
CEBU NORTH ROAD;BUTUANON RIVER LABOG;I;800.00;;
ALL OTHER STREETS;;RR;650.00;;
ALL OTHER STREETS;;I;650.00;;
BARANGAY:;TAWASON;;;;
ABELLANA STREET;CANDUMAN BOUNDARY;RR;350.00;;
ABELLANA STREET;CANDUMAN BOUNDARY;GP;350.00;;
CANDUMAN TAWASON RD;ABELLANA END;RR;350.00;;
CANDUMAN TAWASON RD;ABELLANA END;GP;350.00;;
SITIO KAPASANAN;;RR;350.00;;
SITIO KAPASANAN;;GP;350.00;;
BARANGAY:;TINGUB;;;;
TINGUB PAGSABUNGAN;;RR;600.00;;
TINGUB PAGSABUNGAN;;GP;600.00;;
TINGUB PAGSABUNGAN;;I;600.00;;
CANDUMAN PAGSABUNGAN;BUTUANON RIVER TINGUB;RR;600.00;;
CANDUMAN PAGSABUNGAN;BUTUANON RIVER TINGUB;GP;600.00;;
CANDUMAN PAGSABUNGAN;BUTUANON RIVER TINGUB;I;600.00;;
ALL OTHER STREETS;;RR;600.00;;
ALL OTHER STREETS;;GP;600.00;;
ALL OTHER STREETS;;I;600.00;;
BARANGAY:;TIPOLO;;;;
CEBU NORTH ROAD;TIPOLO  BASUBAS RD;CR;1,500.00;;
CEBU NORTH ROAD;TIPOLO  BASUBAS RD;I;1,500.00;;
