RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;;
BALAGTAS;ZARAGOZA-P HERRERA;RR;3,780.00;;
HERRERA;TAGUMPAY-KAGITINGAN;RR;3,780.00;;
HINAHON;ZARAGOZA-P HERRERA;RR;3,780.00;;
KAGITINGAN ST.;LAKANDULA-ZARAGOZA;RR;3,780.00;;
LAKANDULA ST.;KAGITINGAN-(ROAD-10) MABUHAY;RR;3,780.00;;
MABUHAY ST. (ROAD-10 MARCOS ROAD);LAKANDULA-ZARAGOZA;RR;3,780.00;;
MARIA PAYO;ZARAGOZA-P HERRERA;RR;5,040.00;;
MASIKAP;ZARAGOZA-P HERRERA;RR;3,780.00;;
MATIISIN;ZARAGOZA-P HERRERA;RR;3,780.00;;
MATIMTIMAN;ZARAGOZA-P HERRERA;RR;3,780.00;;
PADRE RADA;ZARAGOZA-P HERRERA;RR;3,780.00;;
PAGHANAPIN;ZARAGOZA-P HERRERA;RR;3,780.00;;
R MABAGOS;ZARAGOZA-P HERRERA;RR;3,780.00;;
TAGUMPAY;ZARAGOZA-P HERRERA;RR;3,780.00;;
ZABALA;ZARAGOZA-P HERRERA;RR;4,340.00;;
ZARAGOZA EXT;TAGUMPAY-KAGITINGAN;CR;39,375.00;;
ZARAGOZA EXT;TAGUMPAY-KAGITINGAN;RR;7,560.00;;
ALL OTHER STREETS;;CR;39,375.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  30 ZONE  2;;;;
BALAGTAS;ZARAGOZA-P HERRERA;RR;3,780.00;;
HERRERA;TAGUMPAY-MARCOS ROAD;RR;3,780.00;;
HINAHON;ZARAGOZA-P HERRERA;RR;3,780.00;;
MARCOS ROAD;ZARAGOZA-P HERRERA;CR;26,250.00;;
MARIA PAYO;ZARAGOZA-P HERRERA;RR;3,780.00;;
MASIKAP;ZARAGOZA-P HERRERA;RR;3,780.00;;
MATIISIN;ZARAGOZA-P HERRERA;RR;3,780.00;;
MATIMTIMAN;ZARAGOZA-P HERRERA;RR;3,780.00;;
