RDO:;RDO NO. 42 - SAN JUAN;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
GEN DE JESUS;WHITE CROSS J SANTOS;RR;4,350.00;;
GEN LIM;WHITE CROSS J SANTOS;RR;3,800.00;;
GEN MASCARDO;WHITE CROSS J SANTOS;RR;3,800.00;;
GEN SEGUNDO;WHITE CROSS J SANTOS;RR;4,350.00;;
GEN VER;MONS;RR;3,600.00;;
IBUNA;;RR;3,800.00;;
J DOMINGO DE MESA;J A SANTOS;RR;4,350.00;;
J A SANTOS DR;WHITE CROSS;RR;4,000.00;;
JOFRE;;RR;3,800.00;;
JUAN GUTIERREZ;J A SANTOS;RR;4,100.00;;
L JAENA;;RR;3,950.00;;
M REYES;MONS J A SANTOS DR;RR;4,100.00;;
MANGGA;P GUEVARRA AVE;RR;4,100.00;;
MONS;J A SANTOS DR;RR;3,850.00;;
P GUEVARRA AVE;;RR;4,750.00;;
P GUEVARRA AVE;;CR;5,250.00;;
PROSPECT;P GUEVARRA;RR;4,200.00;;
SANTOLAN RD;;RR;4,000.00;;
SOMME;;RR;3,950.00;;
V CRUZ;P PARADA;RR;3,950.00;;
V P IBANEZ;P GUEVARRA IBUNA;RR;4,350.00;;
VERDUM;;RR;4,350.00;;
WILSON;;RR;5,500.00;;
WILSON ST;;CR;6,500.00;;
ALL OTHER STREETS;;RR;3,300.00;;
ALL OTHER STREETS;;CR;5,200.00;;
BARANGAY:;MAYTUNAS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
ALLENBY;M MARCOS WILSON;RR;3,900.00;;
ARAS;WILSON;RR;3,900.00;;
ARGONNE;P GUEVARRA;RR;3,900.00;;
AURORA;F MANALO M MARCOS;RR;3,600.00;;
BARCELONA;M MARCOS WILSON;RR;3,900.00;;
C M RECTO;P GUEVARRA;RR;3,900.00;;
F MANALO;GRUET;RR;3,750.00;;
GRUET;F MANALO;RR;3,900.00;;
LIEGE;WILSON;RR;3,900.00;;
