RDO:;RDO NO. 80 - MANDAUE CITY;;;;
GRANCENA;;GP;850.00;;
GRANCENA;;I;850.00;;
GRANCENA;;CR;850.00;;
ALL OTHER STREETS;SITIOS ILOG & GRANCENA;RR;450.00;;
ALL OTHER STREETS;SITIOS ILOG & GRANCENA;I;850.00;;
ALL OTHER STREETS;SITIOS ILOG & GRANCENA;CR;850.00;;
SALTBEDS & FISH POND;;I;1,000.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;PAGSABUNGAN;;;;
ABELLANA STREET;TINGUB-PAGSABUNGAN;RR;850.00;;
ABELLANA STREET;TINGUB-PAGSABUNGAN;I;850.00;;
GREEN VIEW SUBD;;RR;1,300.00;;
PAGSABUNGAN ROAD;BDRY-TINGUB-PAGSABUNGAN RD;RR;850.00;;
PAGSABUNGAN ROAD;BDRY-TINGUB-PAGSABUNGAN RD;I;1,000.00;;
PAGSABUNGAN ROAD;BDRY-TINGUB-PAGSABUNGAN RD;CR;1,000.00;;
TINGUB-PAGSABUNGAN;BDRY-ABELLAN;RR;400.00;;
ALL OTHER STREETS;;RR;400.00;;
ALL OTHER STREETS;;I;850.00;;
ALL OTHER STREETS;;CR;850.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;PAKNA-AN;;;;
CEBU NORTH ROAD;BUTUANON RIVER;CR;2,000.00;;
CEBU NORTH ROAD;BUTUANON RIVER;RR;1,000.00;;
CEBU NORTH ROAD;BUTUANON RIVER;I;2,000.00;;
S JAYME STREET;BGY LABOGON;CR;1,200.00;;
S JAYME STREET;BGY LABOGON;RR;1,000.00;;
S JAYME STREET;BGY LABOGON;I;1,200.00;;
SITIO CAMBOGAONG;;CR;1,000.00;;
SITIO CAMBOGAONG;;RR;1,000.00;;
SITIO CAMBOGAONG;;I;1,000.00;;
ALL OTHER STREETS;;CR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
ALL OTHER STREETS;;I;1,000.00;;
FISH POND;;A;1,500.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;SUBANGDAKU;;;;
CEBU NORTH ROAD;SUBANGDAKU-CREEK BDRY;RR;2,000.00;;
CEBU NORTH ROAD;SUBANGDAKU-CREEK BDRY;CR;3,000.00;;
CEBU NORTH ROAD;SUBANGDAKU-CREEK BDRY;I;3,000.00;;
H CORTES TO TIPOLO;;RR;1,650.00;;
H CORTES TO TIPOLO;;CR;2,000.00;;
H CORTES TO TIPOLO;;I;2,000.00;;
SAN VICENTE & SINGSON VILL;SITIO NAWAKAO;RR;700.00;;
UNNAMED STREET;BESIDE TELECON-RECLAMATION;RR;400.00;;
UNNAMED STREET;BESIDE TELECON-RECLAMATION;CR;1,500.00;;
UNNAMED STREET;BESIDE TELECON-RECLAMATION;I;1,500.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;CR;750.00;;
ALL OTHER STREETS;;I;750.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;TABOK;;;;
CEBU NORTH ROAD;;RR;800.00;;
CEBU NORTH ROAD;;I;1,000.00;;
CEBU NORTH ROAD;;CR;1,000.00;;
CEBU NORTH ROAD;BUTUANON RIVER-LABOGON;RR;800.00;;
CEBU NORTH ROAD;BUTUANON RIVER-LABOGON;I;1,000.00;;
CEBU NORTH ROAD;BUTUANON RIVER-LABOGON;CR;1,000.00;;
HERMAG VILLAGE;;RR;700.00;;
TABOK BARRIO ROAD;;RR;650.00;;
TABOK BARRIO ROAD;;I;800.00;;
TABOK BARRIO ROAD;;CR;800.00;;
ALL OTHER STREETS;;RR;650.00;;
ALL OTHER STREETS;;I;800.00;;
ALL OTHER STREETS;;CR;800.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;TAWASON;;;;
ABELLANA STREET;CANDUMAN-BOUNDARY;RR;350.00;;
ABELLANA STREET;CANDUMAN-BOUNDARY;CR;350.00;;
ABELLANA STREET;CANDUMAN-BOUNDARY;I;350.00;;
ABELLANA STREET;CANDUMAN-BOUNDARY;GP;350.00;;
ABELLANA STREET;CANDUMAN-BOUNDARY;A;200.00;;
CANDUMAN-TAWASON ROAD;ABELLANA-END;RR;350.00;;
CANDUMAN-TAWASON ROAD;ABELLANA-END;GP;350.00;;
SITIO KAPASANAN;;RR;350.00;;
SITIO KAPASANAN;;CR;350.00;;
SITIO KAPASANAN;;I;350.00;;
SITIO KAPASANAN;;GP;350.00;;
ALL OTHER STREETS;;RR;350.00;;
ALL OTHER STREETS;;CR;350.00;;
ALL OTHER STREETS;;I;300.00;;
ALL OTHER STREETS;;A;200.00;;
ALL OTHER STREETS;;GP;200.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;TINGUB;;;;
CANDUMAN-PAGSABUNGAN;BUTUANON RIV-TINGUB-;RR;600.00;;
CANDUMAN-PAGSABUNGAN;PAGSABUNGAN;GP;600.00;;
