RDO:;RDO NO. 80 - MANDAUE CITY, CEBU;;;;
BARANGAY ROAD;;A;300.00;;
BARANGAY ROAD;INTERIOR;RR;350.00;;
BARANGAY ROAD;INTERIOR;A;150.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;YATI;;;;
NATIONAL ROAD;;CR;1,000.00;;
NATIONAL ROAD;;RR;1,000.00;;
PROVINCIAL ROAD;YATI-SSVICENTE-YATI-TAYUD;CR;800.00;;
PROVINCIAL ROAD;YATI-SSVICENTE-YATI-TAYUD;RR;450.00;;
EASTLAND VILLAGE;;RR;1,750.00;;
PRIMA VERA HILLS;;RR;2,000.00;;
ALL OTHER SUBDIVISIONS;;RR;1,750.00;;
ALLOTHER STREETS;;RR;500.00;;
ALLOTHER STREETS;;A;370.00;;
ALLOTHER STREETS;INTERIOR;A;300.00;;
