RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
BARANGAY:;TABON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO CORN/COCONUT;A;1.00;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.10;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;TAPON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;23.50;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;22.50;;
INTERIOR AREA;PLAIN AREA;A;1.10;;
INTERIOR AREA;HILLY AREA;A1;1.05;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;TUBA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG BARANGAY ROAD;RR;18.00;;
BARANGAY ROAD;ALONG NATIONAL HIWAY;RR;20.00;;
INTERIOR AREA;PLANTED TO CORN;A;1.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.10;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;ANAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY BGY SALAMANCA, KAGSING & CAMPISONG & MUN OF MALABUYOC;A1;1.00;;
ALL AREAS;;;;;
ALL AREAS;;;;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;CALABAWAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MALATBO, KAGSING, MANGACO, CANORONG, PALANAS & POBLACION;A;1.20;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;CAMBAGTE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF OSLOB, BGY MANGACO, KAGSING & SALAMANCA;A1;1.00;;
ALL AREAS;;;;;
ALL AREAS;;;;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;CAMPISONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF MALABUYOC BGY ANAO, KAGSING, MALATBO, GUIWANON & LOOC;A1;1.00;;
ALL AREAS;;;;;
ALL AREAS;;;;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;CANORONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF OSLOB & SAMBOAN, BGY PALANAS, CALABAWAN & MANGACO;A;1.20;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;GUIWANON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;BRGY BGY LOOC-BGY POBLAION BNDED BY BGY LOOK, CAMPISONG, MALATBO & POBLACION;RR;22.50;;
INTERIOR AREA;;A;1.20;;
INTERIOR AREA;;A1;1.00;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;KAGSING;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY ANAO, CAMBAGTE, MANGACO, CALABAWAN, MALATBO & CAMPISONG;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;LOOC;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;BDRY MUN MALABUYOC TO BGY GUIWANON BNDED BY CAMPISONG & GUIWANON;RR;22.50;;
INTERIOR AREA;;A;1.20;;
INTERIOR AREA;;A1;1.00;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;MALATBO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY BGY CAMPISONG,KAGSING, CALABAWAN,POBLACION & GUIWANON;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;MANGACO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF OSLOB BGY CANORONG, CALABAWAN KAGSING & CAMBAGTE;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;PALANAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;BNDRY SAN ROQUE-BDRY OF MUN OF SAMBOAN;RR;22.50;;
INTERIOR AREAS;BNDED BY BGY SAN ROQUE,  POBLACION, CALABAWAN & CANORONG;A;1.20;;
INTERIOR AREAS;;A1;1.00;;
INTERIOR AREAS;;;;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
A. SINGCO;WASHINGTON-PROVINCIAL RD;GL;;;
A. SINGCO;PROV'L RD-ZULIETA-BALINTAWAK;RR;22.50;;
BURGOS;J RIZAL-PROV'L RD;RR;22.50;;
CLIMACO;WASHINGTON-ZULIETA;RR;22.50;;
FERENAL;PROV'L RD TO END;RR;22.50;;
JOSE RIZAL;LEGASPO-CLIMACO;GL;0.00;;
JOSE RIZAL;CLIMACO-LINCOLN;RR;20.00;;
JOSE RIZAL;BURGOS-LEGASPI;RR;22.50;;
LEGASPI;WASHINGTON-PROV'L RD;RR;22.50;;
MAGELLAN;BURGOS-LEGASPI;RR;22.50;;
MAGELLAN;LEGASPI-CLIMACO (EAST);CR;35.00;;
MAGELLAN;LEGASPI-SINGCO (WEST);CR;35.00;;
MAGELLAN;SINGCO-CLIMACO;X;40.00;;
MAGELLAN;CLIMACO-BONIFACIO;CR;35.00;;
MAGELLAN;BONIFACIO-LINCOLN;RR;22.50;;
MAGELLAN;CLIMACO-LINCOLN (EAST);RR;22.50;;
WASHINGTON;LEGASPI-CLIMACO (WEST);RR;22.50;;
ZAMORA;BURGOS-(LINCOLN) A. SINGKO;RR;22.50;;
ZAMORA;CLIMACO-LINCOLN;RR;22.50;;
PROVINCIAL ROAD;LINCOLN-SAN ROQUE BDRY;RR;20.00;;
INTERIOR STREETS;ALONG MAGELLAN & PROV'L ROADS SUCH AS VISCAYNO,   BONIFACIO & LOGARTA;RR;22.50;;
INTERIOR STREETS;ALONG MAGELLAN & PROV'L ROADS SUCH AS VISCAYNO,   BONIFACIO & LOGARTA;A;2.75;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;SALAMANCA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF MALABUYOC & OSLOB, BGY CAMBAGTE & ANAO;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;GINATILAN;;;;
BARANGAY:;SAN ROQUE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;BDRY BGY POBLACION-BDRY BGY PALANAS;RR;22.50;;
INTERIOR AREA;;RR;22.50;;
INTERIOR AREA;ALONG THE ROAD;GL;0.00;;
INTERIOR AREA;PLANTED TO CORN/COCONUT;A;1.75;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;ARMENA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;BGY MONTANEZA-BGY POBLACION;RR;22.50;;
ALL AREAS;BNDED BY BGY MONTANEZ,   SORSOGON & POBLACION;A;1.05;;
ALL AREAS;BNDED BY BGY MONTANEZ,   SORSOGON & POBLACION;A1;1.00;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;CERDENA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF ALCOY & BOLJOON, BGY SALMERON, SORSOGON & TOLOSA;A;1.00;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;LABRADOR;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY BGY LOOC, MINDANAO & MAHANLUD & MUN OF BOLJOON, OSLIB & GINATILAN;A;1.00;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
ALL AREAS;;;;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;LOMBO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY BGY TOLOSA, SORSOGON, MONTANEZ & MUN OF ALEGRIA;A;1.00;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;LO-OC;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;BDRY GINATILAN-BDRY STO.NINO;RR;32.50;;
ALL AREAS;BNDED BY STO-. NINO, MINDANAO & LABRADOR & MUN OF GINATILAN;A;1.00;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;MAHANLUD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF BOLJOON, BGY LABRADOR, MINDANAO & SALMERON;A;1.00;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;MINDANAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY BGY STO. NINO, POBLACION, SORSOGON, LABRADOR, MAHANLUD & LOOC;A;1.00;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
ALL AREAS;;;;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;MONTANEZA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;MUN OF ALEGRIA-BGY ARMENA BNDED BY MUN OF ALEGRIA BGY LOMBO & ARMENA;RR;32.50;;
ALL AREAS;MUN OF ALEGRIA-BGY ARMENA BNDED BY MUN OF ALEGRIA BGY LOMBO & ARMENA;A;1.00;;
ALL AREAS;;A1;1.00;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARRIENTOS;RIZAL CROSSING CARREDO UP TO END OF EXTENSION;RR;37.50;;
CARCELLAR;RIZAL-CARREDO;RR;37.50;;
CARREDO;HIGANADA-TECSON;RR;37.50;;
DEL PILAR;RIZAL-CARREDO;RR;37.50;;
DOS DE JULIO;RIZAL-CARREDO;RR;37.50;;
HIGANADA;RIZAL-CARREDO;RR;37.50;;
MABINI;RIZAL-CARREDO;RR;37.50;;
PROVINCIAL RD (RIZAL ST);BGY ARMENA BDRY-HIGANADA;RR;22.50;;
PROVINCIAL RD (RIZAL ST);HIGANADA-MABINI;RR;37.50;;
PROVINCIAL RD (RIZAL ST);MABINI-DOS DE JULIO;CR;42.50;;
PROVINCIAL RD (RIZAL ST);DOS DE JULIO-DEL PILAR;GP;22.50;;
PROVINCIAL RD (RIZAL ST);DEL PILAR-BARRIENTOS;CR;42.50;;
PROVINCIAL RD (RIZAL ST);BARRIENTOS-TECSON;RR;37.50;;
PROVINCIAL RD (RIZAL ST);TECSON-BDRY BGY STO NINO;RR;37.50;;
TECSON;RIZAL-CARREDO;RR;37.50;;
INTERIOR AREAS;50M AWAY BNDED BY VARIOUS STREETS;RR;37.50;;
SITIOS;;A;1.20;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;SALMERON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF BOLJOON, BGY MAHANLUD, SORSOGON & CERDENA;A;1.00;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;STO. NINO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;32.50;;
ALL OTHER AREAS;;A;1.05;;
ALL OTHER AREAS;;A1;1.00;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;SORSOGON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY BGY LOMBO, TO LOSA, CARIENA, SALMERON MINDANAO, POBLACION & ARMENA;A;1.00;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;MALABUYOC;;;;
BARANGAY:;TOLOSA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF ALEGRIA & ALCOY, BGY CERDENA, SORSOGON, LOMBO;A;1.00;;
ALL AREAS;;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;CADULAWAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY/PROVINCIAL ROAD;AREAS W/IN 100M ALONG;RR;4.25;;
INTERIOR AREAS;AREAS 100M & OVER FR BGY/PROV'L ROAD;A;3.75;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;CALAJO-AN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HIGHWAY;EXTENDING 100M FROM HIWAY FROM PAKIGNE-CALAJOAN BDRY TO CALJOAN-POBLACION BDY;RR;125.00;;
PROVINCIAL/BARANGAY ROAD;ALONG BARANGAY ROADS;RR;75.00;;
ALL SUBDIVISIONS;;RR;150.00;;
INTERIOR AREAS;100M & OVER FROM ROAD &;A;3.25;;
INTERIOR AREAS;HIWAY;;;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;CAMP 7;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;ALONG & W/IN 100M;A;1.75;;
INTERIOR AREAS;100M & OVER FR BBGY ROAD;A;1.50;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;CAMP 8;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;ALONG & W/IN 100M;A;1.75;;
INTERIOR AREAS;100M & OVER FR BBGY ROAD;A;1.50;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;CUANOS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;ALONG & W/IN 100M;A;2.75;;
INTERIOR AREAS;100M & OVER FR BBGY ROAD;A;2.50;;
INTERIOR AREAS;100M & OVER FR BBGY ROAD;A1;1.75;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;GUINDARUHAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;ALONG & W/IN 100M;A;2.75;;
INTERIOR AREAS;100M & OVER FR BBGY ROAD;A;2.50;;
INTERIOR AREAS;100M & OVER FR BBGY ROAD;A1;1.75;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;LINAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HI-WAY;LINAO-MINGLANILLA & LINAO 'TALISAY TO PAKIGNE-LINAO;RR;122.50;;
PROV'L/BARANGAY ROAD;EXTENDING 100M FROM LINAO;RR;47.50;;
ALL SUBDIVISIONS;;RR;147.50;;
INTERIOR AREAS;100 M & OVER FROM NAT'L;A;6.25;;
INTERIOR AREAS;HI-WAY & BGY ROADS;;;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;MANDU-ANG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY RAOD;ALONG & W/IN 100M;A;2.75;;
INTERIOR AREAS;100M & OVER FR BBGY ROAD;A;2.50;;
INTERIOR AREAS;100M & OVER FR BBGY ROAD;A1;1.75;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;PAKIGNE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HI-WAY;LINAO-PAKIGNE TO PAKIGNE-POBLACION BDRY;RR;125.00;;
PROV'L/BARANGAY ROADS;WITHIN 100M FROM ROAD;RR;50.00;;
ALL SUBDIVISIONS;;RR;150.00;;
INTERIOR AREAS;;A;6.25;;
INTERIOR AREAS;;;;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;POBLACION  (WARD I, II, III & IV);;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HIGHWAY;VILLORDON-CABALLERO  50M;CR;205.00;;
NATIONAL HIGHWAY;TULAY TUNGHAAN-VILLORDON;RR;125.00;;
NATIONAL HIGHWAY;CABALLERO-POBLACION-CALAJOAN;RR;125.00;;
C CABALLERO STREET;;CR;180.00;;
E RODRIGUEZ STREET;;CR;180.00;;
L CANA STREET & EXTENSION;;CR;180.00;;
P CANONEO STREET;;CR;180.00;;
P DIAZ STREET;;CR;180.00;;
P VILLORDON;;CR;180.00;;
R M VILLORDON;;CR;180.00;;
R OSMENA, SR. STREET;;CR;180.00;;
TRES DE MAYO STREET;;CR;180.00;;
18 DE JUNIO STREET;;CR;180.00;;
STREET LEADING TO CEMETERY;;CR;180.00;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;TUBOD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY/PROVINCIAL ROAD;;RR;4.25;;
INTERIOR AREAS;;A;3.75;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;TULAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HI-WAY;;RR;122.50;;
PROVINCIAL/BARANGAY ROAD;;RR;72.50;;
ALL SUBDIVISIONS;;RR;147.50;;
INTERIOR AREAS;;A;6.25;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;TUNGHA-AN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HIGHWAY;;RR;125.00;;
BARANGAY/PROVINCIAL ROAD;;RR;50.00;;
ALL SUBDIVISIONS;;RR;150.00;;
INTERIOR AREAS;;A;6.25;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;TUNGKIL;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;26.25;;
INTERIOR AREAS;;A;6.25;;
ALL SUBDIVISIONS;;RR;126.25;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;TUNGKOP;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HIGHWAY;;RR;125.00;;
BARANGAY/PROVINCIAL ROAD;;RR;50.00;;
ALL SUBDIVISIONS;;RR;150.00;;
INTERIOR AREAS;;A;6.25;;
MUNICIPALITY:;MINGLANILLA;;;;
BARANGAY:;VITO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY/PROVINCIAL ROAD;;RR;4.25;;
INTERIOR AREAS;;A;3.75;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:  ALPACO;ALPACO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;BAIRAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG BARANGAY RD;RR;10.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;BALIRONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG NAGA-TOLEDO;RR;30.00;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.50;;
ALL AREAS;BEYOND 200 METERS;A;1.10;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;CABUNGAHAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200MALONG BARANGAY RD;RR;10.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;CANTAO-AN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;COGON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;COLON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG NATIONAL RD;RR;65.00;;
ALL AREAS;200M ALONG BARANGAY RD;RR;45.00;;
ALL AREAS;BEYOND 200 METERS;A;1.50;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;INAYAGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG NATIONAL RD;RR;67.50;;
ALL AREAS;200MALONG BARANGAY RD TOWARD BOHOL STRAIT;RR;67.50;;
ALL AREAS;200MALONG BARANGAY RD;RR;67.50;;
ALL AREAS;BEYOND 200 METERS;A;1.50;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;INUBURAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG NATIONAL RD;RR;27.50;;
ALL AREAS;200M ALONG BARANGAY RD;RR;17.50;;
ALL AREAS;BEYOND 200 METERS;A;1.25;;
ALL AREAS;BEYOND 200 METERS;A1;1.10;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;JAGUIMIT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.00;;
ALL AREAS;BEYOND 200 METERS;A;6.25;;
ALL AREAS;BEYOND 200 METERS;A1;5.25;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;LANAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;LANGTAD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG NATIONAL RD;RR;27.50;;
ALL AREAS;200M ALONG BARANGAY RD;RR;17.50;;
ALL AREAS;BEYOND 200 METERS;A;1.25;;
ALL AREAS;BEYOND 200 METERS;A1;1.10;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;LUTAC;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG TOLEDO-NAGA R;RR;30.00;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;MAINIT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG TOLEDO-NAGA R;RR;30.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;MAYANA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;NAALAD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG TOLEDO-NAGA R;RR;35.00;;
ALL AREAS;200M ALONG BARANGAY RD;RR;27.50;;
ALL AREAS;BEYOND 200 METERS;A;1.25;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;PANGDAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG TOLEDO-NAGA ROAD;RR;30.00;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;PATAG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
