RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
NATIONAL HIGHWAY;ARGAO CEN SCH-TS KINTANAR;A;53.00;;
NATIONAL HIGHWAY;T S KINTANAR-A MINOZA-J ALCAZAREN;CR;133.00;;
N. MIRANDA;COL. ORTEGA-LAPU-LAPU;RR;125.00;;
PIADA;SHORELINE-SOLIMAN ST;RR;130.00;;
PUBLIC PLAZA;COL ORTEGA-RIZAL-MIRANDA ALCARRACIN STS;GP;0.00;;
ROOSEVELT;RIZAL-ARGAO-MAHAYAHAY BEACH;A;53.00;;
SAN MIGUEL;A LUNA-CANBANUA BDRY;RR;130.00;;
SAN MIGUEL PARISH;A LUNA-ALCARRACIN-COL ORTEGA-JP RIZAL STS;X;0.00;;
SOLIMAN;DR. TS KINTANAR-ARGAO RIV;RR;125.00;;
BLOCK NO. 1;INTERIOR AREA BOUNDED BY NATL HIWAY, TS KINTANAR,MJ CUENCO & TULIC-POB BOUNDARY;A;25.00;;
BLOCK NO. 2;AREA ALONG NAT'L HIWAY-SAN MIGUEL-MJ CUENCO;RR;43.00;;
BLOCK NO. 2;INTERIOR;RR;35.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BLOCK NO. 3;AREA FROM NAT'L HIWAY-ALCARRACIN-MJ CUENCO;RR;43.00;;
BLOCK NO. 3;INTERIOR AREA;RR;35.00;;
BLOCK NO. 4;FROM NAT'L HIWAY-RIVER BANK-MJ CUENCO ALBARRACIN;RR;40.00;;
BLOCK NO. 4;INTERIOR AREA;RR;33.00;;
BLOCK NO. 5;FROM NAT'L HIWAY-ARELLANO BNDED BY RIZAL & ROOSEVELT;A;43.00;;
BLOCK NO. 5;INTERIOR AREA;RR;30.00;;
BLOCK NO. 6;BNDED BY ARELLANO, RIZAL,TS KINTANAR & NAT'L RD;RR;43.00;;
BLOCK NO. 6;INTERIOR AREA;RR;35.00;;
BLOCK NO. 7;FRM T S KINTANAR-T R MINOZA & RIZAL STS;RR;43.00;;
BLOCK NO. 7;INTERIOR AREA;RR;35.00;;
BLOCK NO. 8;BNDED NATL HIWAY, ALCAZAREN, JP RIZAL, & LAPU-LAPU STS ALONG ARGAO RIVER;RR;35.00;;
BLOCK NO. 8;AREA FRONTING RIZAL ST;RR;40.00;;
BLOCK NO. 8;INTERIOR AREA;RR;30.00;;
ALL OTHER AREAS;;A;5.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;SUA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;5.00;;
ROLLING AREA;;A1;1.00;;
ROLLING AREA;;;;;
ROLLING AREA;;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;SUMAGUAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY/PROVINCIAL RDS;;RR;6.50;;
PLAIN AREA;;A;1.50;;
ROLLING AREA;;A1;1.20;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;TABAYAG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PLAIN AREA;;A;1.50;;
ROCKY HILLS;;A1;1.20;;
ROCKY HILLS;;;;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;TALAGA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL & BARANGAY RDS;;RR;9.00;;
PLAIN AREA;;A;1.50;;
ROLLING AREA;;A1;1.20;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;TALAYTAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;11.00;;
PLAIN AREA;;A;1.50;;
HILLY AREA;;A1;1.20;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;TALOOT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;GUIWANON-PROV'L RD;A;2.30;;
PROVINCIAL ROAD;NAT'L RD-100M AWAY;RR;55.00;;
PLAIN AREA;;A;1.50;;
ROLLING AREA;;A1;1.20;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;TIGUIB;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;4.50;;
ROCKY HILLS;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;TULANG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;TULIC;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;BRGY RD-SITIO CANDURAN;RR;10.00;;
COLUMBUS;COLUMBUS-NATIONAL RD;RR;15.00;;
I.C. KINTANAR;IC KINTANAR-NAT'L RD;RR;20.00;;
M.J. CUENCO;COR CUENCO-BAHABAHA BRIDGE;RR;15.00;;
NATIONAL ROAD;SITIO CANCAINAP;RR;10.00;;
ROOSEVELT;HIWAY-TULIC-POB BDRY;RR;20.00;;
SITIO CANDURAN & CANCAINAP;;A1;8.00;;
ZAMORA;NATIONAL ROAD;RR;15.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;UBAUB;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PLAIN AREA;;A;1.50;;
ROLLING AREA;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
