RDO:;RDO NO. 25A - PLARIDEL BULACAN;;;FORMERLY RDO NO. 25 MALOLOS, BULACAN;
NEAR MUNICIPAL ROADS;INTERIOR;I;600.00;;
INNER LOTS;;CR;1,000.00;;
INNER LOTS;;RR;1,000.00;;
INNER LOTS;;I;700.00;;
SAINT MARTIN SUBD.;;RR;1,800.00;;
ARSENIO HEIGHTS SUBD.;;RR;1,800.00;;
MANZANO REALTY SUBD.;;RR;1,800.00;;
ALL OTHER STREETS;;GP;400.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;LAMBAKIN;;;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;RR;1,500.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;CR;1,500.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;I;900.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;A;700.00;;
INNER LOTS;;RR;900.00;;
INNER LOTS;;CR;900.00;;
INNER LOTS;;I;700.00;;
INNER LOTS;;A;400.00;;
ALL OTHER STREETS;;GP;400.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;LIAS;;;;
PROVINCIAL ROAD;;CR;3,500.00;;
PROVINCIAL ROAD;;RR;3,500.00;;
INNER LOTS;;CR;2,800.00;;
INNER LOTS;;RR;2,800.00;;
INNER LOTS;;I;700.00;;
INNER LOTS;;A;400.00;;
NEAR MUNICIPAL ST.;;RR;900.00;;
NEAR MUNICIPAL ST.;;I;700.00;;
NEAR MUNICIPAL ST.;;A;400.00;;
INNER LOTS;;RR;900.00;;
INNER LOTS;;I;700.00;;
MERALCO VILLAGE;;RR;2,500.00;;
SAINT MICHAEL SUBD.;;RR;2,500.00;;
ALL OTHER STREETS;;RR;400.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;LOMA DE GATO;;;;
NEAR PROVINCIAL OR MUNICIPAL ROAD;;RR;1,000.00;;
NEAR PROVINCIAL OR MUNICIPAL ROAD;;CR;1,000.00;;
NEAR PROVINCIAL OR MUNICIPAL ROAD;;I;1,000.00;;
NEAR PROVINCIAL OR MUNICIPAL ROAD;;A;400.00;;
INNER LOTS;;RR;500.00;;
INNER LOTS;;CR;600.00;;
INNER LOTS;;A;400.00;;
PELAGIO DE VERA SUBD.;;RR;700.00;;
R. DEL ROSARIO SUBD.;;RR;700.00;;
ALL OTHER STREET;;GP;400.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;NAGBALON;;;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;RR;1,200.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;CR;1,200.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;I;850.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;A;650.00;;
INNER LOTS;;RR;800.00;;
INNER LOTS;;CR;800.00;;
INNER LOTS;;I;650.00;;
INNER LOTS;;A;450.00;;
ALL OTHER STREETS;;GP;400.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;PATUBIG;;;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;RR;1,200.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;CR;1,250.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;I;700.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;A;400.00;;
INNER LOTS;;RR;700.00;;
INNER LOTS;;CR;700.00;;
INNER LOTS;;I;700.00;;
INNER LOTS;;A;400.00;;
ALL OTHER STREETS;;GP;400.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;POBLACION I;;;;
SAN MIGUEL ST.;;CR;1,800.00;;
SAN MIGUEL ST.;;RR;1,800.00;;
SANDICO ST.;;CR;1,800.00;;
SANDICO ST.;;RR;1,800.00;;
ZULUETA ST.;;RR;1,500.00;;
C. SANTIAGO ST.;;CR;1,500.00;;
C. SANTIAGO ST.;;RR;1,500.00;;
ALL OTHER STREET;;RR;1,500.00;;
ALL OTHER STREET;;GP;1,500.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;POBLACION II;;;;
MC ARTHUR HIWAY;;CR;3,800.00;;
MC ARTHUR HIWAY;;RR;3,500.00;;
SANDICO ST.;;CR;3,500.00;;
SANDICO ST.;;RR;3,000.00;;
SAN MIGUEL ST.;;CR;2,000.00;;
SAN MIGUEL ST.;;RR;1,800.00;;
TAWIRAN;;RR;1,800.00;;
CALLEJON;;RR;1,800.00;;
DURAN ST.;;RR;1,800.00;;
R. DE VERA ST.;;RR;1,800.00;;
BERNARDINO ST.;;RR;1,800.00;;
SANTO TOMAS ST.;;RR;1,800.00;;
J. CRUZ ST.;;RR;1,800.00;;
J. DE DIOS ST.;;RR;1,800.00;;
J. DE DIOS ST.;;CR;1,900.00;;
ALL OTHER STREETS;;RR;1,400.00;;
ALL OTHER STREETS;;GP;600.00;;
NEAR MUNICIPAL ROADS;;A1;600.00;;
NEAR MUNICIPAL ROADS;;A2;600.00;;
INNER LOTS;;A;600.00;;
CONSTANTINO SUBD.;;RR;1,400.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;PRENZA I;;;;
